,GEOGRAPHY_CODE,Bad health,Fair health,Good health,Total: All usual residents,Very bad health,Very good health
0,E02000001,0.02167074449493184,0.0800419433764418,0.317604567167657,8583.0,0.005475940813235465,0.5752068041477338
1,E02000002,0.04323149378094433,0.12087912087912088,0.3194058688564183,8281.0,0.016785412389807994,0.49969810409370846
2,E02000003,0.031883555709582394,0.10760700051984058,0.33694333737653787,11542.0,0.009097210188875412,0.5144688962051638
3,E02000004,0.0394518897756362,0.12513175726547207,0.3368468604125885,6641.0,0.008131305526276163,0.4904381870200271
4,E02000005,0.03185345605486374,0.10693015701136979,0.32232449016423026,11082.0,0.012181916621548458,0.5267099801479878
5,E02000007,0.04418421570556977,0.11611887423735485,0.3250344420389687,10162.0,0.015548120448730565,0.4991143475693761
6,E02000008,0.04633962264150943,0.12060377358490566,0.329811320754717,13250.0,0.014943396226415094,0.48830188679245284
7,E02000009,0.03630286069651741,0.10595460199004975,0.32074004975124376,12864.0,0.010261194029850746,0.5267412935323383
8,E02000010,0.042154073137316894,0.11465907893350195,0.33312256296764675,9489.0,0.011170829381388976,0.4988934555801454
9,E02000011,0.04322479738376226,0.11104791696288924,0.33413905872316224,7033.0,0.008815583676951514,0.5027726432532348
10,E02000012,0.029710711493354185,0.11510728868039267,0.3370688906263574,11511.0,0.008774215967335592,0.5093388932325602
11,E02000013,0.044796765269206215,0.11481166205575655,0.3262396254522239,9398.0,0.012449457331347094,0.5017024898914663
12,E02000014,0.040446021287379626,0.13025848960973138,0.3398884946781551,9865.0,0.011251900658895083,0.4781550937658388
13,E02000015,0.03974234321827905,0.12080700048614487,0.3245017015070491,8228.0,0.011424404472532814,0.5035245503159942
14,E02000016,0.026584673604541153,0.0912961210974456,0.3282876064333018,10570.0,0.010028382213812678,0.5438032166508988
15,E02000017,0.03438081681813205,0.10686521405890725,0.3480783970217891,9133.0,0.009744881200043798,0.5009306909011277
16,E02000018,0.03948057388208189,0.10713163682060949,0.33469473243271547,9549.0,0.014661221070269138,0.504031835794324
17,E02000019,0.0380794701986755,0.11589403973509933,0.335885761589404,9664.0,0.011175496688741722,0.49896523178807944
18,E02000020,0.030598448729808582,0.10239806447021989,0.338006119689746,14053.0,0.009179534618942574,0.519817832491283
19,E02000021,0.03413631693115653,0.10948738440461239,0.3200137001940861,8759.0,0.009704304144308711,0.5266582943258363
20,E02000022,0.028169014084507043,0.08295645432226385,0.30275229357798167,7739.0,0.006719214368781496,0.5794030236464659
21,E02000023,0.03803941132451983,0.09615864305313046,0.3075579945123472,8018.0,0.013344973808929907,0.5448989773010726
22,E02000024,0.028502905636011436,0.09869938197583249,0.32515450604187807,10841.0,0.008394059588598837,0.5392491467576792
23,E02000025,0.036122116056863204,0.11162899091120951,0.32311815427639246,8582.0,0.009554882311815428,0.5195758564437194
24,E02000026,0.032213102059780084,0.10283413349852873,0.31748490010840946,6457.0,0.010840947808579835,0.5366269165247018
25,E02000027,0.04073805328081269,0.11620192806053696,0.3261117445838084,9647.0,0.013786669430911164,0.5031616046439308
26,E02000028,0.027399357110056637,0.0996479412214909,0.3266493188427981,6533.0,0.007500382672585336,0.538803000153069
27,E02000029,0.02863049095607235,0.09974160206718347,0.31152454780361755,9675.0,0.00806201550387597,0.5520413436692506
28,E02000030,0.03236040609137056,0.101417089678511,0.31450930626057527,9456.0,0.011104060913705584,0.5406091370558376
29,E02000031,0.029528267915016206,0.10094826551434402,0.32325051014284,8331.0,0.008762453486976353,0.5375105029408235
30,E02000032,0.026700251889168764,0.11209068010075567,0.31876574307304784,7940.0,0.008438287153652394,0.5340050377833753
31,E02000033,0.030708661417322834,0.1236220472440945,0.3236220472440945,8890.0,0.010348706411698537,0.5116985376827896
32,E02000034,0.029932871134587872,0.09045889732585012,0.3102233960603059,9087.0,0.012105205238252448,0.5572796302410036
