,GEOGRAPHY_CODE,Living in a couple,Living in a couple: Cohabiting,Living in a couple: Cohabiting: Opposite-sex couple,Living in a couple: Cohabiting: Same-sex couple,Living in a couple: Married or in a civil partnership,Living in a couple: Married or in a civil partnership: Opposite-sex couple,Living in a couple: Married or in a civil partnership: Same-sex couple,"Living in a couple: Separated, but still married or in a civil partnership",Not living in a couple,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,Not living in a couple: Married or in a registered civil partnership,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),Not living in a couple: Single (never married and never registered a civil partnership),Not living in a couple: Widowed or surviving partner from a civil partnership,Total: All usual residents
0,E02000001,0.4643907428717555,0.18795550441120062,0.16059327451732516,0.027362229893875465,0.2757959340237821,0.253548139624089,0.022247794399693134,0.0006393044367727912,0.5356092571282445,0.05561948599923283,0.028512977880066487,0.017772663342283595,0.40340109960363124,0.030303030303030304,7821.0
1,E02000002,0.4725496800269451,0.09750757830919501,0.09498147524418997,0.002526103065005052,0.37386325362074774,0.37386325362074774,0.0,0.0011788480970023577,0.5274503199730549,0.07814078814415629,0.028123947457056247,0.022398113843044798,0.34691815426069383,0.05186931626810374,5938.0
2,E02000003,0.498356940509915,0.08906515580736545,0.08475920679886685,0.004305949008498584,0.40793201133144474,0.4063456090651558,0.0015864022662889518,0.0013597733711048158,0.501643059490085,0.06538243626062323,0.04963172804532578,0.020963172804532578,0.3170538243626062,0.04861189801699717,8825.0
3,E02000004,0.5396578538102644,0.10497667185069985,0.10069984447900467,0.0042768273716951785,0.4317651632970451,0.4309875583203733,0.0007776049766718507,0.00291601866251944,0.4603421461897356,0.057931570762052874,0.02021772939346812,0.01982892690513219,0.3059875583203733,0.056376360808709176,5144.0
4,E02000005,0.5275482093663911,0.10343100425745054,0.09917355371900827,0.004257450538442274,0.4228650137741047,0.4217380415727523,0.0011269722013523666,0.001252191334835963,0.4724517906336088,0.05972952667167543,0.032306536438767845,0.021162033558727773,0.318557475582269,0.040696218382168796,7986.0
5,E02000007,0.4477895307838351,0.10143748304854895,0.0979115812313534,0.003525901817195552,0.34486032004339573,0.34377542717656634,0.0010848928668294006,0.0014917276918904258,0.5522104692161649,0.06983997830214267,0.027393544887442365,0.030648223487930566,0.3845945212910225,0.0397342012476268,7374.0
6,E02000008,0.49111043381083,0.11683429848623388,0.11338006705272782,0.0034542314335060447,0.37234582952351925,0.3676724575840699,0.004673371939449355,0.0019303058010769075,0.5088895661891699,0.07670425683226659,0.028141826678858072,0.02722747129940059,0.33394290358630496,0.042873107792339736,9843.0
7,E02000009,0.47632282202031,0.10657402458578301,0.10411544628540888,0.0024585783003741313,0.3672902191341529,0.365793693212186,0.0014965259219668627,0.0024585783003741313,0.52367717797969,0.06264029930518439,0.03570283270978086,0.025334045964724747,0.36322822020309997,0.03677177979690005,9355.0
8,E02000010,0.47724059937800395,0.10998020921685044,0.10573932711337292,0.004240882103477523,0.3648572236358496,0.36429177268871926,0.0005654509471303364,0.0024031665253039297,0.522759400621996,0.07421543681085666,0.032796154933559515,0.021628498727735368,0.34662143059089623,0.04749787955894826,7074.0
9,E02000011,0.5111947318908748,0.09595484477892756,0.09256820319849482,0.0033866415804327376,0.4133584195672625,0.4114769520225776,0.0018814675446848542,0.0018814675446848542,0.4888052681091251,0.060206961429915336,0.03988711194731891,0.019190968955785512,0.32455315145813735,0.044967074317968016,5315.0
10,E02000012,0.4903824394659425,0.05476352115863317,0.05046390586105454,0.004299615297578638,0.4343742928264313,0.4330165195745644,0.0013577732518669382,0.0012446254808780267,0.5096175605340575,0.039828015388096855,0.046277438334464814,0.014482914686580674,0.350418646752659,0.05861054537225616,8838.0
