,GEOGRAPHY_CODE,Address one year ago is student term-time or boarding school address in the UK,Address one year ago is the same as the address of enumeration,Migrant from outside the UK: Address one year ago was outside the UK,Migrant from within the UK: Address one year ago was in the UK,Total: All usual residents
3900,E02004067,0.0019264729491090063,0.9351420773799968,0.0012843152994060042,0.0616471343714882,6229.0
3901,E02004068,0.0019430950728660653,0.914087439278279,0.004441360166551007,0.07952810548230396,7205.0
3902,E02004069,0.0034976152623211448,0.9030206677265501,0.002861685214626391,0.09062003179650238,6290.0
3903,E02004072,0.0018224699828473414,0.9192753001715266,0.0033233276157804458,0.07557890222984563,9328.0
3904,E02004073,0.0016021972991531242,0.9186312657358663,0.005378805218585489,0.07438773174639506,8738.0
3905,E02004074,0.0013869625520110957,0.9249306518723994,0.0020804438280166435,0.07160194174757281,5768.0
3906,E02004075,0.0022576548610131228,0.9146324255679413,0.005361930294906166,0.0777479892761394,7087.0
3907,E02004076,0.002282185528258827,0.893542757417103,0.0034904013961605585,0.10068465565847765,7449.0
3908,E02004077,0.002435756911460236,0.8733406406040677,0.006576543660942638,0.11764705882352941,8211.0
3909,E02004078,0.00028805991646262423,0.9200633731816218,0.001152239665850497,0.0784963272360651,6943.0
3910,E02004080,0.0011434511434511435,0.8931392931392932,0.002494802494802495,0.10322245322245323,9620.0
3911,E02004081,0.0017319016279875303,0.9354000692760651,0.0010391409767925182,0.06182888811915483,5774.0
3912,E02004082,0.0013238457719675658,0.9429091510838987,0.0016548072149594572,0.05411219592917425,6043.0
3913,E02004083,0.0013493621197252208,0.9148675171736997,0.0013493621197252208,0.08243375858684986,8152.0
3914,E02004084,0.000507700118463361,0.9361990184464376,0.001523100355390083,0.06177018107970892,5909.0
3915,E02004085,0.0006788866259334691,0.9202308214528174,0.0036207286716451684,0.07546956324960398,8838.0
3916,E02004086,0.0022468754388428594,0.9316107288302204,0.001825586294059823,0.06431680943687684,7121.0
3917,E02004087,0.0009124087591240876,0.9267466110531803,0.0023461939520333683,0.06999478623566215,7672.0
3918,E02004088,0.0019843894695065487,0.9318692948802751,0.002645852626008731,0.06350046302420956,7559.0
3919,E02004089,0.001325478645066274,0.8832106038291605,0.007952871870397643,0.10751104565537556,6790.0
3920,E02004090,0.0023688663282571912,0.9199661590524535,0.0025380710659898475,0.0751269035532995,5910.0
3921,E02004091,0.001946787800129786,0.9279688513951979,0.003136491455764655,0.06694786934890763,9246.0
3922,E02004092,0.0013976991721320288,0.930760133318998,0.0022578217395978926,0.06558434576927212,9301.0
3923,E02004093,0.0017454776261504284,0.9003490955252301,0.0030149158997143763,0.0948905109489051,6302.0
3924,E02004094,0.0017231476163124641,0.937105112004595,0.003733486502010339,0.05743825387708214,6964.0
3925,E02004095,0.0020872676672298975,0.8986184275916906,0.002584236159427492,0.09671006858165192,10061.0
3926,E02004096,0.002677927695952209,0.9281079410855907,0.002574930476877124,0.06663920074157997,9709.0
3927,E02004097,0.002835921674544227,0.9212694125590817,0.004321404456448345,0.07157326130992572,7405.0
3928,E02004098,0.0009594298245614035,0.9259868421052632,0.003289473684210526,0.06976425438596491,7296.0
3929,E02004100,0.0018552875695732839,0.9167594310451453,0.0027210884353741495,0.07866419294990723,8085.0
3930,E02004102,0.005156683855612852,0.8845696152320508,0.006743355811186037,0.10353034510115033,7563.0
3931,E02004103,0.0033833480435422184,0.9136510738452486,0.00264783759929391,0.08031774051191527,6798.0
3932,E02004104,0.0019490463594598357,0.9156341361548099,0.0020882639565641095,0.08032855352916608,7183.0
3933,E02004105,0.0009831767533318768,0.938169106401573,0.0013109023377758358,0.05953681450731921,9154.0
3934,E02004106,0.002232807383149747,0.9336111938076809,0.002232807383149747,0.061923191426019646,6718.0
3935,E02004108,0.0015987210231814548,0.924593658406608,0.0025313082867039704,0.07127631228350653,7506.0
3936,E02004109,0.0017822664488341008,0.9322738749443041,0.0031189662854596762,0.06282489232140205,6733.0
3937,E02004110,0.0010942415538230065,0.9368075502667214,0.0009574613595951306,0.06114074681986048,7311.0
3938,E02004111,0.0009090909090909091,0.9187272727272727,0.002181818181818182,0.07818181818181819,5500.0
