,GEOGRAPHY_CODE,"L1, L2 and L3 Higher managerial, administrative and professional occupations",L10 and L11 Lower supervisory and technical occupations,L12 Semi-routine occupations,L13 Routine occupations,L14.1 and L14.2 Never worked and long-term unemployed,L15 Full-time students,"L4, L5 and L6 Lower managerial, administrative and professional occupations",L7 Intermediate occupations,L8 and L9 Small employers and own account workers,Total: All usual residents aged 16 years and over
0,E02000001,0.3968015992003998,0.016741629185407298,0.036106946526736634,0.031859070464767617,0.05459770114942529,0.09970014992503748,0.2391304347826087,0.05409795102448776,0.07096451774112944,8004.0
1,E02000002,0.06684491978609626,0.05247326203208556,0.12383021390374331,0.1213235294117647,0.1373663101604278,0.11213235294117647,0.15357620320855614,0.10227272727272728,0.13018048128342247,5984.0
2,E02000003,0.0889768230638779,0.041153193894855854,0.1141888072357264,0.11124929338609384,0.11667608818541549,0.10107405313736574,0.16789146410401357,0.11644997173544375,0.14234030525720745,8845.0
3,E02000004,0.08653122648607976,0.06132430398796087,0.1143717080511663,0.11568848758465011,0.1062829194883371,0.07863054928517682,0.18848758465011287,0.12866817155756208,0.1200150489089541,5316.0
4,E02000005,0.0748997995991984,0.0532314629258517,0.1283817635270541,0.1306362725450902,0.1218687374749499,0.093562124248497,0.16194889779559118,0.11172344689378758,0.12374749498997996,7984.0
5,E02000007,0.059209645010046885,0.05371734762223711,0.13369055592766244,0.14413931681178835,0.1245813797722706,0.10823844608171466,0.15137307434695244,0.10783657066309445,0.11721366376423309,7465.0
6,E02000008,0.05542584509186885,0.05359861942949954,0.13074814739620344,0.14881737894629987,0.13267688559537102,0.10100497411430312,0.13765099989848747,0.10455791290224342,0.13551923662572327,9851.0
7,E02000009,0.06574024585783003,0.04756814537680385,0.12143238909673972,0.140780331373597,0.1306253340459647,0.11715660074826297,0.15189738107963655,0.09492250133618386,0.12987707108498128,9355.0
8,E02000010,0.05654509471303364,0.05018377155781736,0.1344359626802375,0.1405145603618886,0.12312694373763076,0.10093299406276506,0.1511167656205824,0.1077184054283291,0.13542550183771557,7074.0
9,E02000011,0.061657744138822225,0.05298135499353886,0.12146944803396714,0.1288536090086764,0.11426989108362562,0.10300904559719402,0.16152852132176482,0.10891637437696142,0.1473140114454495,5417.0
10,E02000012,0.09824759751271905,0.03810062182023742,0.09089881288863765,0.08501978518937253,0.14279253815715093,0.12526851328434144,0.17467495760316562,0.11814584511023177,0.1268513284341436,8845.0
11,E02000013,0.05615395662789028,0.053712480252764615,0.13399396811719086,0.14375987361769352,0.13040356168318254,0.1029728565273589,0.14246732730145054,0.10326008904207956,0.1332758868303892,6963.0
12,E02000014,0.05098197471078827,0.05878396556362658,0.13236481033091202,0.1585956416464891,0.12402475114339521,0.09860102232983589,0.14191552327145548,0.09981167608286252,0.1349206349206349,7434.0
13,E02000015,0.058687002652519894,0.05338196286472149,0.13992042440318303,0.14688328912466844,0.13295755968169762,0.09913793103448276,0.14704907161803712,0.09930371352785146,0.1226790450928382,6032.0
14,E02000016,0.10458981798997626,0.03983117910841467,0.11078871010287523,0.12068055921920337,0.15523608546557638,0.12595621208124505,0.14362964916908466,0.08375098918491164,0.11553679767871274,7582.0
15,E02000017,0.08260991318958275,0.04648557826939233,0.10585270232427892,0.12055446653598431,0.14701764211705404,0.11845421450574069,0.1290954914589751,0.09269112293475217,0.15723886866423972,7142.0
16,E02000018,0.05487282080594456,0.05315804515575879,0.12760788796799086,0.1373249499857102,0.13232352100600173,0.10917404972849386,0.13961131751929123,0.10488711060302944,0.14104029722777936,6998.0
17,E02000019,0.06391459074733095,0.05181494661921708,0.11829181494661922,0.14220640569395018,0.13395017793594305,0.10704626334519574,0.1588612099644128,0.10448398576512455,0.11943060498220641,7025.0
18,E02000020,0.08661340607950117,0.04696024941543258,0.11019095869056898,0.1151597817614965,0.13552221356196414,0.11584177708495713,0.16134060795011693,0.0975253312548714,0.1308456742010912,10264.0
19,E02000021,0.05040829145728643,0.052763819095477386,0.1297110552763819,0.14337311557788945,0.12625628140703518,0.10851130653266332,0.1457286432160804,0.11180904522613065,0.13143844221105527,6368.0
20,E02000022,0.0875023075503046,0.0437511537751523,0.11611593132730294,0.10780875023075503,0.122946280228909,0.14823703156728818,0.16411297766291305,0.09525567657374931,0.11426989108362562,5417.0
21,E02000023,0.05368289637952559,0.048154093097913325,0.11824505082932049,0.135366506153023,0.14339218833600856,0.13822008204030675,0.15302300695559123,0.10130194399857322,0.10861423220973783,5607.0
22,E02000024,0.23523478650678023,0.029250252157346186,0.06813851843550375,0.049646979715342376,0.06253502185363667,0.06455228062310882,0.2666143673652359,0.10545780567073854,0.11856998767230752,8923.0
23,E02000025,0.18677544010304853,0.04236439101187921,0.0738514383855732,0.0598253900100186,0.08487190496636611,0.0714183483612423,0.23829969944182053,0.11507084585659082,0.1275225418634607,6987.0
24,E02000026,0.20042194092827004,0.03145377828922133,0.06578442654392022,0.04948216340621404,0.07978519370924435,0.07479861910241657,0.23858841580360568,0.12121212121212122,0.13847334100498657,5214.0
25,E02000027,0.15128769250679436,0.03908373236702472,0.09900349424097321,0.08942668564772874,0.10068590656140805,0.0848971140157888,0.20810146240455546,0.10819205383719425,0.11932185841853242,7727.0
26,E02000028,0.2076894082171127,0.030908405578590276,0.07934413871089332,0.05371277798718432,0.07802487749717302,0.07010931021485112,0.24557105163965323,0.104787033546928,0.129852996607614,5306.0
27,E02000029,0.15822019088587175,0.03589192095711789,0.08388224223685979,0.0795805887888157,0.09248554913294797,0.07796746874579917,0.21427611238069633,0.11789218981045839,0.13980373706143298,7439.0
28,E02000030,0.22622441046903344,0.026561285307074373,0.06426535371857994,0.048458149779735685,0.08473697849183727,0.07579683855921224,0.22026431718061673,0.10171028763928479,0.15198237885462554,7718.0
29,E02000031,0.2621145374449339,0.023494860499265784,0.057562408223201175,0.04787077826725404,0.08531571218795889,0.06196769456681351,0.23612334801762114,0.1027900146842878,0.12276064610866373,6810.0
30,E02000032,0.1992843808338519,0.02971375233354076,0.06425015556938395,0.059271935283136276,0.08089607965152458,0.07965152457996266,0.2157747355320473,0.12072184194150591,0.15043559427504666,6428.0
31,E02000033,0.1416375087473758,0.041147655703289016,0.09097270818754374,0.0761371588523443,0.10496850944716585,0.07319804058782366,0.21343596920923724,0.1158852344296711,0.14261721483554934,7145.0
32,E02000034,0.1875772983372269,0.036003847739453074,0.0768173697952453,0.06554898996839358,0.08300123677339563,0.07874123952178096,0.21616050570289955,0.11021025147725712,0.14593926068434795,7277.0
33,E02000035,0.22811970638057594,0.027526821005081876,0.06987577639751552,0.0614059853190288,0.10460191981931112,0.06648785996612083,0.2171089779785432,0.09316770186335403,0.13170525127046867,7084.0
34,E02000036,0.15377500289050758,0.03272054572782981,0.08474968204416695,0.06555671175858481,0.10243958839172158,0.08128107295641114,0.20661348132732107,0.11272979535206382,0.16013411955139323,8649.0
35,E02000037,0.2113979542133463,0.021797369702873843,0.06855820750121773,0.045177788602045785,0.08779834388699465,0.08451047247929859,0.21809547004383828,0.11933755479785679,0.143326838772528,8212.0
36,E02000038,0.17646378153205278,0.029159916685952327,0.07660263827817634,0.06757694978014349,0.10564684100902569,0.08227262207822264,0.21256653552418422,0.10043971302939135,0.14927100208285118,8642.0
37,E02000039,0.22736916548797736,0.02086280056577086,0.06205799151343706,0.056577086280056574,0.07142857142857142,0.07655586987270156,0.23125884016973125,0.09087694483734088,0.163012729844413,5656.0
38,E02000040,0.2266519519933784,0.027727962477583114,0.066629879983446,0.05311077389984825,0.08580493861222238,0.09904814457166505,0.21796109808249414,0.08870188991585046,0.13436336046351222,7249.0
39,E02000041,0.13921331722378844,0.03624647603705195,0.08618606524365686,0.07692307692307693,0.10471204188481675,0.09075043630017451,0.18029265673244732,0.11276681433749497,0.17290911531749228,7449.0
40,E02000042,0.17871571337444184,0.03338294705507123,0.07569636402296406,0.06974271741441633,0.1202423984690623,0.0788858175632575,0.21539442908781628,0.08696576653200085,0.14097384648096958,9406.0
41,E02000043,0.2775420132405364,0.022576812086233237,0.04786963164148701,0.039212357833984045,0.0835172296723816,0.06857918859276863,0.240196910541504,0.09760651841792566,0.12289933797317942,5891.0
42,E02000044,0.12261818181818182,0.04116363636363636,0.0992,0.09861818181818181,0.11403636363636363,0.09454545454545454,0.18109090909090908,0.10792727272727273,0.1408,6875.0
43,E02000045,0.14849692140528795,0.03766751177109743,0.09175419533985271,0.081371483761922,0.10732826270674876,0.08885669443438368,0.2000482916817578,0.09634190510684534,0.14813473379210432,8283.0
44,E02000046,0.2304858796702333,0.03262585511313804,0.06139273811611998,0.06051569900017541,0.08279249254516752,0.06577793369584284,0.2404841255920014,0.09086125241185757,0.13506402385546395,5701.0
45,E02000047,0.07620837248146989,0.04791731913560914,0.10951038730556426,0.1160872742457459,0.13863660089779725,0.1108675227059192,0.14375195740682745,0.09719177367157324,0.1598287921494937,9579.0
46,E02000048,0.23009396636993076,0.02274975272007913,0.0673837784371909,0.04426310583580613,0.08704253214638971,0.08531157270029674,0.2176063303659743,0.10014836795252226,0.14540059347181009,8088.0
47,E02000049,0.10897755610972569,0.04339152119700748,0.11034912718204488,0.10236907730673317,0.14027431421446385,0.12630922693266833,0.15698254364089775,0.09264339152119701,0.11870324189526185,8020.0
48,E02000050,0.1795147603681128,0.03346480219911557,0.08186924823712202,0.07888131946934385,0.10577267837934744,0.0963308234731684,0.21381618262220628,0.0914306202940122,0.11891956495757142,8367.0
49,E02000051,0.23235019351394634,0.026424663018817563,0.05885493126918457,0.05204857867342853,0.11090350994261311,0.07366875750700654,0.20205525156813026,0.0851461363939677,0.15854797811290539,7493.0
50,E02000052,0.2389613647767185,0.02985449071751129,0.06999498243853487,0.052558956347215254,0.07150025087807325,0.07225288509784245,0.26329653788258905,0.08818364274962369,0.11339688911189162,7972.0
51,E02000054,0.16588972833949525,0.033435139045169586,0.07201414563574988,0.07121041633177946,0.1070567432888603,0.10946793120077158,0.1891978781546375,0.08503456036007073,0.1666934576434657,6221.0
52,E02000055,0.14946281862228777,0.036233410575100065,0.07783863492732251,0.08226248156730567,0.09311143880345481,0.1429323783442174,0.17716452496313462,0.08605435011586265,0.15493996208131453,9494.0
53,E02000056,0.31166666666666665,0.01875,0.04513888888888889,0.03194444444444444,0.07472222222222222,0.07875,0.2275,0.07555555555555556,0.13597222222222222,7200.0
54,E02000057,0.16110549376474553,0.028985507246376812,0.0719582069430401,0.0643747893495113,0.09908998988877654,0.12386248736097068,0.19447253117627233,0.09605662285136501,0.1600943714189417,5934.0
55,E02000058,0.25938952392915465,0.01934430347946238,0.05790729807813089,0.041954528325587236,0.08277854540886823,0.08378344429091823,0.22271071473432985,0.09923376460243688,0.13289787715111168,7961.0
