,GEOGRAPHY_CODE,All persons,Female,Male
0,E02000001,163.0,0.50920245398773,0.49079754601226994
1,E02000002,11.0,0.45454545454545453,0.5454545454545454
2,E02000003,42.0,0.5238095238095238,0.47619047619047616
3,E02000004,12.0,0.5833333333333334,0.4166666666666667
4,E02000005,22.0,0.5909090909090909,0.4090909090909091
5,E02000007,18.0,0.5555555555555556,0.4444444444444444
6,E02000008,44.0,0.38636363636363635,0.6136363636363636
7,E02000009,36.0,0.4444444444444444,0.5555555555555556
8,E02000010,20.0,0.55,0.45
9,E02000011,21.0,0.6190476190476191,0.38095238095238093
10,E02000012,19.0,0.631578947368421,0.3684210526315789
11,E02000013,14.0,0.6428571428571429,0.35714285714285715
12,E02000014,28.0,0.6785714285714286,0.32142857142857145
13,E02000015,24.0,0.625,0.375
14,E02000016,75.0,0.6266666666666667,0.37333333333333335
15,E02000017,40.0,0.475,0.525
16,E02000018,17.0,0.5882352941176471,0.4117647058823529
17,E02000019,23.0,0.391304347826087,0.6086956521739131
18,E02000020,45.0,0.5111111111111111,0.4888888888888889
19,E02000021,35.0,0.45714285714285713,0.5428571428571428
20,E02000022,21.0,0.5238095238095238,0.47619047619047616
21,E02000023,25.0,0.56,0.44
22,E02000024,23.0,0.4782608695652174,0.5217391304347826
23,E02000025,20.0,0.65,0.35
24,E02000026,6.0,0.6666666666666666,0.3333333333333333
25,E02000027,20.0,0.6,0.4
26,E02000028,11.0,0.6363636363636364,0.36363636363636365
27,E02000029,14.0,0.5714285714285714,0.42857142857142855
28,E02000030,22.0,0.6818181818181818,0.3181818181818182
29,E02000031,28.0,0.5714285714285714,0.42857142857142855
30,E02000032,14.0,0.35714285714285715,0.6428571428571429
31,E02000033,23.0,0.6521739130434783,0.34782608695652173
32,E02000034,21.0,0.7142857142857143,0.2857142857142857
33,E02000035,43.0,0.4883720930232558,0.5116279069767442
34,E02000036,24.0,0.7083333333333334,0.2916666666666667
35,E02000037,31.0,0.6129032258064516,0.3870967741935484
36,E02000038,26.0,0.6923076923076923,0.3076923076923077
37,E02000039,23.0,0.5652173913043478,0.43478260869565216
38,E02000040,57.0,0.47368421052631576,0.5263157894736842
39,E02000041,33.0,0.45454545454545453,0.5454545454545454
40,E02000042,46.0,0.5217391304347826,0.4782608695652174
41,E02000043,23.0,0.7391304347826086,0.2608695652173913
42,E02000044,24.0,0.5416666666666666,0.4583333333333333
43,E02000045,24.0,0.5833333333333334,0.4166666666666667
44,E02000046,19.0,0.631578947368421,0.3684210526315789
45,E02000047,61.0,0.47540983606557374,0.5245901639344263
46,E02000048,25.0,0.48,0.52
47,E02000049,27.0,0.6666666666666666,0.3333333333333333
48,E02000050,23.0,0.6086956521739131,0.391304347826087
49,E02000051,50.0,0.58,0.42
50,E02000052,16.0,0.6875,0.3125
51,E02000054,48.0,0.5208333333333334,0.4791666666666667
52,E02000055,94.0,0.5106382978723404,0.48936170212765956
53,E02000056,51.0,0.6078431372549019,0.39215686274509803
54,E02000057,26.0,0.6153846153846154,0.38461538461538464
55,E02000058,59.0,0.6779661016949152,0.3220338983050847
56,E02000059,48.0,0.5,0.5
57,E02000060,42.0,0.6666666666666666,0.3333333333333333
58,E02000061,53.0,0.7169811320754716,0.2830188679245283
59,E02000062,26.0,0.6538461538461539,0.34615384615384615
60,E02000063,47.0,0.5319148936170213,0.46808510638297873
61,E02000064,23.0,0.4782608695652174,0.5217391304347826
62,E02000065,21.0,0.6190476190476191,0.38095238095238093
63,E02000066,22.0,0.6818181818181818,0.3181818181818182
64,E02000067,23.0,0.6956521739130435,0.30434782608695654
65,E02000068,29.0,0.5172413793103449,0.4827586206896552
66,E02000069,13.0,0.6923076923076923,0.3076923076923077
67,E02000070,7.0,0.7142857142857143,0.2857142857142857
68,E02000071,6.0,1.0,0.0
69,E02000072,11.0,0.45454545454545453,0.5454545454545454
70,E02000073,5.0,0.4,0.6
71,E02000074,13.0,0.6923076923076923,0.3076923076923077
72,E02000075,4.0,0.5,0.5
73,E02000077,10.0,0.4,0.6
74,E02000078,10.0,0.9,0.1
75,E02000079,8.0,0.75,0.25
76,E02000080,7.0,0.5714285714285714,0.42857142857142855
77,E02000081,7.0,0.7142857142857143,0.2857142857142857
78,E02000082,7.0,0.7142857142857143,0.2857142857142857
79,E02000083,9.0,0.4444444444444444,0.5555555555555556
80,E02000084,4.0,0.75,0.25
81,E02000085,3.0,0.6666666666666666,0.3333333333333333
82,E02000086,5.0,0.4,0.6
83,E02000087,4.0,0.75,0.25
84,E02000088,6.0,0.6666666666666666,0.3333333333333333
85,E02000089,9.0,0.4444444444444444,0.5555555555555556
86,E02000090,8.0,0.875,0.125
87,E02000091,12.0,0.75,0.25
88,E02000092,9.0,0.5555555555555556,0.4444444444444444
89,E02000093,51.0,0.37254901960784315,0.6274509803921569
90,E02000094,38.0,0.5526315789473685,0.4473684210526316
91,E02000095,61.0,0.3770491803278688,0.6229508196721312
92,E02000096,30.0,0.36666666666666664,0.6333333333333333
93,E02000097,37.0,0.5135135135135135,0.4864864864864865
94,E02000098,39.0,0.6410256410256411,0.358974358974359
95,E02000099,48.0,0.5,0.5
96,E02000100,97.0,0.7010309278350515,0.29896907216494845
97,E02000101,47.0,0.3617021276595745,0.6382978723404256
98,E02000102,17.0,0.29411764705882354,0.7058823529411765
99,E02000103,33.0,0.6060606060606061,0.3939393939393939
100,E02000104,32.0,0.65625,0.34375
101,E02000105,54.0,0.42592592592592593,0.5740740740740741
102,E02000106,50.0,0.48,0.52
103,E02000107,29.0,0.4827586206896552,0.5172413793103449
104,E02000108,33.0,0.5454545454545454,0.45454545454545453
105,E02000110,31.0,0.5483870967741935,0.45161290322580644
106,E02000111,64.0,0.53125,0.46875
107,E02000112,62.0,0.3709677419354839,0.6290322580645161
108,E02000113,19.0,0.5263157894736842,0.47368421052631576
109,E02000114,28.0,0.6428571428571429,0.35714285714285715
110,E02000115,30.0,0.3333333333333333,0.6666666666666666
111,E02000116,29.0,0.3448275862068966,0.6551724137931034
112,E02000117,26.0,0.34615384615384615,0.6538461538461539
113,E02000118,60.0,0.5166666666666667,0.48333333333333334
114,E02000119,31.0,0.3225806451612903,0.6774193548387096
115,E02000120,33.0,0.45454545454545453,0.5454545454545454
116,E02000121,78.0,0.41025641025641024,0.5897435897435898
117,E02000122,36.0,0.5555555555555556,0.4444444444444444
118,E02000123,48.0,0.6041666666666666,0.3958333333333333
119,E02000124,29.0,0.6896551724137931,0.3103448275862069
120,E02000125,31.0,0.6774193548387096,0.3225806451612903
121,E02000126,23.0,0.5217391304347826,0.4782608695652174
122,E02000127,10.0,0.5,0.5
123,E02000128,3.0,1.0,0.0
124,E02000130,21.0,0.47619047619047616,0.5238095238095238
125,E02000131,13.0,0.7692307692307693,0.23076923076923078
126,E02000132,11.0,0.9090909090909091,0.09090909090909091
127,E02000133,9.0,0.7777777777777778,0.2222222222222222
128,E02000134,26.0,0.6538461538461539,0.34615384615384615
129,E02000135,16.0,0.5625,0.4375
130,E02000136,14.0,0.7857142857142857,0.21428571428571427
131,E02000137,14.0,0.5,0.5
132,E02000138,24.0,0.625,0.375
133,E02000139,23.0,0.6086956521739131,0.391304347826087
134,E02000140,4.0,0.75,0.25
135,E02000141,8.0,0.375,0.625
136,E02000142,13.0,0.6153846153846154,0.38461538461538464
137,E02000144,30.0,0.6,0.4
138,E02000145,8.0,0.25,0.75
139,E02000146,21.0,0.7619047619047619,0.23809523809523808
140,E02000147,10.0,0.6,0.4
141,E02000148,13.0,0.7692307692307693,0.23076923076923078
142,E02000149,7.0,0.8571428571428571,0.14285714285714285
143,E02000150,7.0,0.8571428571428571,0.14285714285714285
