,GEOGRAPHY_CODE,Any other combination of only UK identities,Any other combination of only UK identities ,British only identity,Cornish and British only identity,Cornish only identity,English and British only identity,English only identity,Irish and at least one UK identity,Irish only identity,Non-UK identity only,Northern Irish and British only identity,Northern Irish only identity,Other identity and at least one UK identity,Other identity only,Scottish and British only identity,Scottish only identity,Total: All usual residents,UK identity and non-UK identity,Welsh and British only identity,Welsh only identity
0,E02000001,0.016083916083916083,0.002097902097902098,0.4319347319347319,0.00034965034965034965,0.00034965034965034965,0.07167832167832168,0.06375291375291375,0.004662004662004662,0.012004662004662004,0.33135198135198135,0.00011655011655011655,0.0032634032634032634,0.07482517482517483,0.31934731934731936,0.003962703962703963,0.005944055944055944,8580.0,0.07948717948717948,0.0017482517482517483,0.003962703962703963
1,E02000002,0.0028982007003985027,0.0004830334500664171,0.609105180533752,0.0,0.0,0.06376041540876706,0.11665257819103973,0.00036227508754981284,0.007849293563579277,0.17908465161212414,0.0,0.0004830334500664171,0.026929114841202754,0.17123535804854487,0.0006037918125830214,0.001328341987682647,8281.0,0.027291389928752567,0.0,0.0012075836251660428
2,E02000003,0.0030326661467810416,0.0011264188545186725,0.5810588337232475,0.0,8.664760419374404e-05,0.04990902001559657,0.09149987002859371,0.0005198856251624642,0.008924703231955636,0.2451260722641019,0.0,0.0007798284377436964,0.02790052855038558,0.23620136903214625,8.664760419374404e-05,0.0009531236461311844,11541.0,0.028420414175548046,0.00017329520838748808,0.0007798284377436964
3,E02000004,0.00391566265060241,0.0009036144578313253,0.5524096385542169,0.0,0.0,0.09653614457831325,0.1772590361445783,0.0007530120481927711,0.005572289156626506,0.15060240963855423,0.00015060240963855423,0.0007530120481927711,0.017620481927710843,0.1450301204819277,0.00030120481927710846,0.0018072289156626507,6640.0,0.018373493975903616,0.00015060240963855423,0.0007530120481927711
4,E02000005,0.001173073452445407,0.00018047283883775492,0.5669554232088071,0.0,0.0,0.0664140046922938,0.1061180292365999,0.0006316549359321422,0.004060638873849486,0.22369608373939723,0.0,0.0004511820970943873,0.03438007579859231,0.21963544486554773,0.00036094567767550983,0.00018047283883775492,11082.0,0.03501173073452445,9.023641941887746e-05,0.0005414185165132648
5,E02000007,0.0032473922456209407,0.0008856524306238929,0.5617988584924227,0.0,0.0,0.0907301712261366,0.12782916748671522,0.000196811651249754,0.0037394213737453256,0.19641802794725446,0.0,0.000787246604999016,0.018893918519976384,0.19267860657350916,0.000295217476874631,0.0012792757331234008,10162.0,0.019090730171226138,0.0006888407793741389,0.000196811651249754
6,E02000008,0.0022639800769753225,0.0004527960153950645,0.5394309863406536,0.0,0.0,0.08210701079163836,0.13810278469549467,0.0006791940230925968,0.004377028148818957,0.21658742736397252,7.546600256584409e-05,0.00022639800769753225,0.02030035469021206,0.21221039921515358,0.0004527960153950645,0.0010565240359218173,13251.0,0.020979548713304656,7.546600256584409e-05,0.0004527960153950645
7,E02000009,0.002409825870646766,0.0008550995024875622,0.5559701492537313,0.0,0.0,0.06366604477611941,0.08877487562189054,0.0001554726368159204,0.002409825870646766,0.2579291044776119,7.77363184079602e-05,0.0006218905472636816,0.03070584577114428,0.25551927860696516,0.0001554726368159204,0.0006996268656716418,12864.0,0.0308613184079602,7.77363184079602e-05,0.0003109452736318408
8,E02000010,0.0014764817549040286,0.0003163889474794347,0.5266821345707656,0.0,0.0,0.0817338114321873,0.13214511706391058,0.0005273149124657245,0.004113056317232651,0.22938198692259018,0.0002109259649862898,0.0002109259649862898,0.02752583843071082,0.22526893060535752,0.0002109259649862898,0.0005273149124657245,9482.0,0.028053153343176544,0.0001054629824931449,0.0004218519299725796
9,E02000011,0.0021331058020477816,0.0004266211604095563,0.5216154721274175,0.0,0.0,0.06840159271899886,0.13765642775881684,0.0005688282138794084,0.005546075085324232,0.23862343572241182,0.0001422070534698521,0.0004266211604095563,0.0305745164960182,0.2330773606370876,0.0001422070534698521,0.0009954493742889647,7032.0,0.03114334470989761,0.0,0.0004266211604095563
