,GEOGRAPHY_CODE,Not a student,Student,Total
0,E02000001,0.8610347711793523,0.13896522882064763,8369.0
1,E02000002,0.6970372312532774,0.3029627687467226,7628.0
2,E02000003,0.7510150127466717,0.2489849872533283,10591.0
3,E02000004,0.7845020813320525,0.21549791866794749,6246.0
4,E02000005,0.7168299198575245,0.2831700801424755,10107.0
5,E02000007,0.7075321364070966,0.29246786359290344,9413.0
6,E02000008,0.7174194592844423,0.2825805407155577,12354.0
7,E02000009,0.6980319283723287,0.30196807162767125,11839.0
8,E02000010,0.7229860243154187,0.2770139756845813,8801.0
9,E02000011,0.7457835019932536,0.2542164980067464,6522.0
10,E02000012,0.7187964338781575,0.2812035661218425,10768.0
11,E02000013,0.7188505747126437,0.2811494252873563,8700.0
12,E02000014,0.7294386422976501,0.27056135770234985,9192.0
13,E02000015,0.719433037488409,0.2805669625115909,7549.0
14,E02000016,0.6946277097078228,0.3053722902921772,9549.0
15,E02000017,0.7436260623229461,0.2563739376770538,8472.0
16,E02000018,0.7098168581503811,0.2901831418496189,8791.0
17,E02000019,0.7101777425563229,0.2898222574436771,8833.0
18,E02000020,0.7115550332941637,0.28844496670583625,12765.0
19,E02000021,0.6985122341079553,0.30148776589204473,8133.0
20,E02000022,0.6693221320973349,0.3306778679026651,6904.0
21,E02000023,0.6582743603701687,0.34172563962983127,7348.0
22,E02000024,0.8121229811247325,0.18787701887526756,10278.0
23,E02000025,0.8028203859475507,0.19717961405244927,8084.0
24,E02000026,0.7978846471657577,0.20211535283424228,6051.0
25,E02000027,0.7768876207199298,0.22311237928007024,9112.0
26,E02000028,0.8020477815699659,0.19795221843003413,6153.0
27,E02000029,0.7688087774294671,0.23119122257053293,8932.0
28,E02000030,0.7903601108033241,0.2096398891966759,9025.0
29,E02000031,0.8155711550733886,0.18442884492661135,7835.0
30,E02000032,0.7743287491814015,0.22567125081859857,7635.0
31,E02000033,0.7854347052544182,0.21456529474558178,8431.0
32,E02000034,0.7837711617046118,0.21622883829538822,8565.0
33,E02000035,0.8191160084189675,0.18088399158103255,8077.0
34,E02000036,0.7545808411658597,0.2454191588341403,10533.0
35,E02000037,0.742938968990717,0.257061031009283,10126.0
36,E02000038,0.7790652003142183,0.2209347996857816,10184.0
37,E02000039,0.781301421091997,0.21869857890800298,6685.0
38,E02000040,0.7638255582836432,0.23617444171635685,8553.0
39,E02000041,0.7614926379678544,0.23850736203214568,8897.0
40,E02000042,0.7955025240936209,0.20449747590637907,10895.0
41,E02000043,0.770537845808173,0.229462154191827,7121.0
42,E02000044,0.7516300410528858,0.24836995894711422,8282.0
43,E02000045,0.7622172859450727,0.2377827140549273,9904.0
44,E02000046,0.819467937874827,0.180532062125173,6503.0
45,E02000047,0.7392435808466343,0.2607564191533657,11528.0
46,E02000048,0.7718785855846458,0.22812141441535413,9587.0
47,E02000049,0.7190192860073862,0.2809807139926139,9748.0
48,E02000050,0.7702647657841141,0.22973523421588596,9820.0
49,E02000051,0.8030758556891767,0.1969241443108233,8648.0
50,E02000052,0.7969406441883012,0.20305935581169882,9283.0
51,E02000054,0.7699360933592665,0.23006390664073353,7198.0
52,E02000055,0.7383262308459516,0.26167376915404844,11029.0
53,E02000056,0.7688564476885644,0.23114355231143552,8631.0
54,E02000057,0.7085262871152275,0.29147371288477253,7342.0
55,E02000058,0.7670066239091579,0.23299337609084217,9511.0
56,E02000059,0.8049609554432705,0.19503904455672944,10885.0
57,E02000060,0.6917755572636434,0.30822444273635663,10408.0
58,E02000061,0.7867674858223063,0.21323251417769376,7935.0
59,E02000062,0.7503439841002905,0.24965601589970954,6541.0
60,E02000063,0.7683797787424731,0.23162022125752696,7141.0
61,E02000064,0.7661795407098121,0.23382045929018788,6227.0
62,E02000065,0.6834331337325349,0.31656686626746505,7515.0
63,E02000066,0.7297571993224167,0.2702428006775833,8855.0
64,E02000067,0.765258711721225,0.23474128827877508,9470.0
65,E02000068,0.7350701402805612,0.2649298597194389,7485.0
66,E02000069,0.7921632896305125,0.20783671036948748,6712.0
67,E02000070,0.8044502617801047,0.1955497382198953,7640.0
68,E02000071,0.7723746190080355,0.22762538099196453,7218.0
69,E02000072,0.7211449676823638,0.2788550323176362,11913.0
70,E02000073,0.807396449704142,0.192603550295858,10140.0
71,E02000074,0.765939496203447,0.23406050379655297,8297.0
72,E02000075,0.8220383504071447,0.17796164959285526,7614.0
73,E02000077,0.7958279009126467,0.20417209908735331,7670.0
74,E02000078,0.817032153908247,0.18296784609175298,7433.0
75,E02000079,0.8164526290283499,0.1835473709716501,8254.0
76,E02000080,0.7990531299316149,0.20094687006838505,9505.0
77,E02000081,0.800359250705671,0.19964074929432898,7794.0
78,E02000082,0.7984496124031008,0.20155038759689922,8772.0
79,E02000083,0.7827651515151515,0.21723484848484848,10560.0
80,E02000084,0.8058391374868811,0.19416086251311898,10481.0
81,E02000085,0.8019271948608137,0.1980728051391863,7472.0
82,E02000086,0.8147170917619466,0.18528290823805335,6822.0
83,E02000087,0.8192367199587416,0.18076328004125838,7756.0
84,E02000088,0.8094716671229126,0.19052833287708731,7306.0
85,E02000089,0.7975468391966573,0.20245316080334277,7419.0
86,E02000090,0.7982293146791999,0.20177068532080009,9149.0
87,E02000091,0.8167446697867915,0.18325533021320853,9615.0
88,E02000092,0.7846640316205533,0.21533596837944663,6325.0
89,E02000093,0.7915030346304891,0.2084969653695109,11204.0
90,E02000094,0.77028955954323,0.22971044045676997,9808.0
91,E02000095,0.7889046079223929,0.2110953920776071,9896.0
