,GEOGRAPHY_CODE,Divorced or civil partnership dissolved,Divorced or civil partnership dissolved: Divorced,Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved,Married or in a registered civil partnership,Married or in a registered civil partnership: In a registered civil partnership,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,Married or in a registered civil partnership: In a registered civil partnership: Same sex,Married or in a registered civil partnership: Married,Married or in a registered civil partnership: Married: Opposite sex,Married or in a registered civil partnership: Married: Same sex,Never married and never registered a civil partnership,"Separated, but still legally married or still legally in a civil partnership","Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership","Separated, but still legally married or still legally in a civil partnership: Separated, but still married",Total: All usual residents aged 16 and over,Widowed or surviving civil partnership partner,Widowed or surviving civil partnership partner: Surviving partner from civil partnership,Widowed or surviving civil partnership partner: Widowed
0,E02000001,0.06984880669748844,0.06709983756091466,0.002748969136573785,0.3042609021616894,0.014119705110583532,0.0021242034237161063,0.011995501686867424,0.29014119705110586,0.2771460702236661,0.01299512682743971,0.5740347369736349,0.021491940522304135,0.000749718855429214,0.02074222166687492,8003.0,0.03036361364488317,0.00012495314257153568,0.030238660502311634
1,E02000002,0.09207887700534759,0.09207887700534759,0.0,0.40858957219251335,0.001002673796791444,0.001002673796791444,0.0,0.40758689839572193,0.4072526737967914,0.00033422459893048126,0.41510695187165775,0.027239304812834226,0.00033422459893048126,0.026905080213903743,5984.0,0.05698529411764706,0.0,0.05698529411764706
2,E02000003,0.0785665837666742,0.0784535383224056,0.00011304544426859598,0.46359936694551207,0.0013565453312231518,0.0011304544426859599,0.00022609088853719196,0.4622428216142889,0.45738186751073934,0.004860954103549627,0.38412841962468913,0.024304770517748136,0.00022609088853719196,0.024078679629210942,8846.0,0.04940085914537644,0.0,0.04940085914537644
3,E02000004,0.0744920993227991,0.07430398796087284,0.00018811136192626034,0.4478931527464259,0.001693002257336343,0.001693002257336343,0.0,0.44620015048908956,0.4445071482317532,0.001693002257336343,0.3867569601203913,0.025583145221971408,0.0,0.025583145221971408,5316.0,0.06527464258841234,0.0,0.06527464258841234
4,E02000005,0.07537248028045573,0.07537248028045573,0.0,0.4636283961437336,0.0015024414673844998,0.0007512207336922499,0.0007512207336922499,0.4621259546763491,0.4611243270314261,0.001001627644923,0.39326405408789283,0.02516589457869037,0.00037561036684612495,0.024790284211844246,7987.0,0.04256917490922749,0.0,0.04256917490922749
5,E02000007,0.08424859362443075,0.08424859362443075,0.0,0.37597106884543263,0.0010715242432360033,0.0008036431824270024,0.0002678810608090008,0.3748995446021966,0.3726225555853201,0.002276989016876507,0.45941601928743636,0.03616394320921511,0.0002678810608090008,0.035896062148406106,7466.0,0.04420037503348513,0.0,0.04420037503348513
6,E02000008,0.0967316280958181,0.09663012586276898,0.00010150223304912708,0.40824198132358913,0.0018270401948842874,0.0010150223304912708,0.0008120178643930166,0.40641494112870485,0.40205034510759236,0.004364596021112464,0.41910272025984574,0.031668696711327646,0.0,0.031668696711327646,9852.0,0.04425497360941941,0.0,0.04425497360941941
7,E02000009,0.07879824655190848,0.0785844114187961,0.00021383513311237036,0.4112049609750882,0.001176093232118037,0.0004276702662247407,0.0007484229658932962,0.41002886774297015,0.40874585694429594,0.0012830107986742223,0.4362236715492355,0.03603121992943441,0.00010691756655618518,0.03592430236287822,9353.0,0.03774190099433337,0.00010691756655618518,0.037634983427777186
8,E02000010,0.09171848501978519,0.09115319389485585,0.0005652911249293386,0.4046071226681741,0.0015545505935556812,0.0011305822498586771,0.00042396834369700395,0.4030525720746184,0.40178066704352744,0.001271905031091012,0.429055963821368,0.02614471452798191,0.0002826455624646693,0.02586206896551724,7076.0,0.04847371396269078,0.0,0.04847371396269078
9,E02000011,0.0725359911406423,0.0725359911406423,0.0,0.4569952011812477,0.002399409376153562,0.0018456995201181247,0.0005537098560354374,0.45459579180509413,0.4525655223329642,0.002030269472129937,0.39018087855297157,0.023624953857511996,0.00018456995201181247,0.023440383905500184,5418.0,0.05666297526762643,0.0,0.05666297526762643
10,E02000012,0.04568068747173225,0.04568068747173225,0.0,0.4881275440976934,0.0010176390773405698,0.0004522840343735866,0.0005653550429669833,0.4871099050203528,0.48507462686567165,0.0020352781546811396,0.39043419267299867,0.01662143826322931,0.0,0.01662143826322931,8844.0,0.05913613749434645,0.00011307100859339665,0.059023066485753055
11,E02000013,0.0980195177956372,0.09773249138920781,0.0002870264064293915,0.41087830080367393,0.000574052812858783,0.0002870264064293915,0.0002870264064293915,0.41030424799081516,0.4087256027554535,0.0015786452353616532,0.41102181400688864,0.02970723306544202,0.0002870264064293915,0.02942020665901263,6968.0,0.05037313432835821,0.00014351320321469576,0.050229621125143516
12,E02000014,0.0924132364810331,0.0924132364810331,0.0,0.40287866559053,0.0016142050040355124,0.0008071025020177562,0.0008071025020177562,0.4012644605864945,0.40005380683346786,0.0012106537530266344,0.4230562281409739,0.031476997578692496,0.00013451708366962604,0.03134248049502287,7434.0,0.05017487220877052,0.0,0.05017487220877052
13,E02000015,0.1058569769371163,0.1058569769371163,0.0,0.36153973784635807,0.000663680106188817,0.0003318400530944085,0.0003318400530944085,0.36087605774016923,0.3595486975277916,0.001327360212377634,0.4556163928986229,0.03849344615895139,0.0,0.03849344615895139,6027.0,0.03849344615895139,0.0,0.03849344615895139
14,E02000016,0.07307743041815064,0.07254979554148529,0.0005276348766653475,0.46036142989051576,0.001187178472497032,0.001055269753330695,0.00013190871916633689,0.4591742514180187,0.45429362880886426,0.004880622609154465,0.4203930879831157,0.02849228333992877,0.00026381743833267377,0.028228465901596094,7581.0,0.017675768368289144,0.00013190871916633689,0.017543859649122806
15,E02000017,0.07867842643147137,0.07867842643147137,0.0,0.46857062858742826,0.002659946801063979,0.0016799664006719867,0.0009799804003919922,0.4659106817863643,0.4626907461850763,0.0032199356012879744,0.39283214335713285,0.019879602407951842,0.0,0.019879602407951842,7143.0,0.04003919921601568,0.0001399972000559989,0.03989920201595968
16,E02000018,0.0788684097728247,0.07858265466495214,0.00028575510787255323,0.41334476353764826,0.0012858979854264896,0.001143020431490213,0.00014287755393627662,0.41205886555222176,0.4112016002286041,0.0008572653236176596,0.4320617231033005,0.0311473067581083,0.0,0.0311473067581083,6999.0,0.044577796828118306,0.0,0.044577796828118306
17,E02000019,0.08270462633451957,0.08256227758007118,0.00014234875444839857,0.41879003558718864,0.002277580071174377,0.002277580071174377,0.0,0.41651245551601424,0.4140925266903915,0.002419928825622776,0.42576512455516013,0.032455516014234874,0.00042704626334519574,0.03202846975088968,7025.0,0.040284697508896794,0.0,0.040284697508896794
18,E02000020,0.06993960646795247,0.06984219754529515,9.74089226573154e-05,0.4563608026495227,0.0018507695304889927,0.0011689070718877848,0.0006818624586012079,0.4545100331190337,0.45090590298071304,0.00360413013832067,0.4114552893045003,0.026495226962789793,0.0001948178453146308,0.026300409117475162,10266.0,0.03574907461523476,0.0,0.03574907461523476
19,E02000021,0.08649921507064365,0.08634222919937205,0.00015698587127158556,0.408320251177394,0.0009419152276295133,0.0009419152276295133,0.0,0.4073783359497645,0.40580847723704866,0.0015698587127158557,0.4141287284144427,0.033594976452119306,0.0,0.033594976452119306,6370.0,0.05745682888540032,0.00015698587127158556,0.05729984301412873
20,E02000022,0.07937973047812442,0.0786413143806535,0.0007384160974709249,0.390806719586487,0.0011076241462063873,0.0011076241462063873,0.0,0.3896990954402806,0.3867454310503969,0.0029536643898836995,0.4729555104301274,0.03765922097101717,0.00036920804873546244,0.03729001292228171,5417.0,0.019198818534244048,0.0,0.019198818534244048
21,E02000023,0.07689562890276538,0.07689562890276538,0.0,0.39589652096342554,0.0016057091882247993,0.0008920606601248885,0.0007136485280999108,0.3942908117752007,0.39250669045495096,0.001784121320249777,0.4663693131132917,0.032114183764495985,0.0,0.032114183764495985,5605.0,0.02872435325602141,0.0,0.02872435325602141
22,E02000024,0.07867309200941387,0.07844895214613919,0.0002241398632746834,0.4845903843998655,0.0020172587694721506,0.0006724195898240502,0.0013448391796481004,0.48257312563039334,0.48033172699764654,0.002241398632746834,0.3580634315813067,0.01905188837834809,0.0002241398632746834,0.018827748515073406,8923.0,0.05962120363106579,0.0,0.05962120363106579
23,E02000025,0.0936158030346407,0.09347265960492414,0.000143143429716576,0.41969653592900086,0.002576581734898368,0.000286286859433152,0.002290294875465216,0.41711995419410247,0.4159748067563699,0.001145147437732608,0.4092470655596908,0.024191239622101346,0.0,0.024191239622101346,6986.0,0.05324935585456628,0.000143143429716576,0.0531062124248497
24,E02000026,0.08088940003833621,0.08050603795284646,0.00038336208548974505,0.5181138585393904,0.0007667241709794901,0.00038336208548974505,0.00038336208548974505,0.517347134368411,0.5167720912401763,0.0005750431282346176,0.32547441058079357,0.016292888633314167,0.0,0.016292888633314167,5217.0,0.05922944220816561,0.0,0.05922944220816561
