,GEOGRAPHY_CODE,Can speak Welsh,Cannot speak Welsh,Total: All usual residents aged 3 years and over
0,W02000001,0.5766503667481663,0.4233496332518337,8180.0
1,W02000002,0.5333012357567004,0.46669876424329965,6231.0
2,W02000003,0.4160662122687439,0.583933787731256,10270.0
3,W02000004,0.49496482273417025,0.5050351772658298,7249.0
4,W02000005,0.48015476784822764,0.5198452321517724,8012.0
5,W02000006,0.7486411047451154,0.2513588952548847,6807.0
6,W02000007,0.564267544515936,0.43573245548406403,6683.0
7,W02000008,0.6206896551724138,0.3793103448275862,5829.0
8,W02000009,0.6619808306709265,0.3380191693290735,7825.0
9,W02000010,0.2830144105835105,0.7169855894164895,8466.0
10,W02000011,0.5210135970333746,0.4789864029666255,8090.0
11,W02000012,0.7044341163170456,0.2955658836829544,7961.0
12,W02000013,0.7647435897435897,0.23525641025641025,6240.0
13,W02000014,0.6795672710650618,0.3204327289349383,6563.0
14,W02000015,0.8235509904622157,0.1764490095377843,8178.0
15,W02000016,0.7809415952111309,0.21905840478886912,6181.0
16,W02000017,0.7495581237253569,0.2504418762746431,7355.0
17,W02000018,0.7438817131203264,0.2561182868796737,5884.0
18,W02000019,0.6690747002766677,0.3309252997233323,6506.0
19,W02000020,0.7023432552248259,0.2976567447751742,6316.0
20,W02000021,0.7409710279137453,0.2590289720862548,7559.0
21,W02000022,0.5607871988228803,0.43921280117711975,5437.0
22,W02000023,0.6718296224588577,0.3281703775411423,5165.0
23,W02000024,0.6778837502249415,0.3221162497750585,5557.0
24,W02000025,0.5396031349007837,0.4603968650992163,5997.0
25,W02000026,0.4007004231723333,0.5992995768276668,6853.0
26,W02000027,0.162270087124879,0.837729912875121,8264.0
27,W02000028,0.1872229863976769,0.8127770136023231,6543.0
28,W02000029,0.20673159063728003,0.7932684093627199,5853.0
29,W02000030,0.169473866990797,0.830526133009203,5759.0
30,W02000031,0.11193188932014524,0.8880681106798548,7987.0
31,W02000032,0.24300207798557633,0.7569979220144236,8181.0
32,W02000033,0.1854658938921088,0.8145341061078912,6729.0
33,W02000034,0.21421902094171003,0.78578097905829,7497.0
34,W02000035,0.19340277777777778,0.8065972222222222,8640.0
35,W02000036,0.19103988344563833,0.8089601165543617,10982.0
36,W02000037,0.27487401007919365,0.7251259899208063,6945.0
37,W02000038,0.3115321252059308,0.6884678747940692,6070.0
38,W02000039,0.37380233626460163,0.6261976637353983,7619.0
39,W02000040,0.556954156954157,0.44304584304584305,6435.0
40,W02000041,0.5434834979523007,0.45651650204769934,8302.0
41,W02000042,0.12340052585451358,0.8765994741454864,5705.0
42,W02000043,0.14658555729984302,0.853414442700157,5096.0
43,W02000044,0.16178172001542615,0.8382182799845739,5186.0
44,W02000045,0.11011162891514036,0.8898883710848596,9227.0
45,W02000047,0.11816479400749064,0.8818352059925093,5340.0
46,W02000049,0.1903878844073559,0.8096121155926441,6471.0
47,W02000050,0.17338904065563232,0.8266109593443677,6223.0
48,W02000051,0.2339644513137558,0.7660355486862442,5176.0
49,W02000052,0.2790649565577162,0.7209350434422839,4834.0
50,W02000053,0.41132686084142395,0.588673139158576,6180.0
51,W02000054,0.29216112318235,0.70783887681765,5983.0
52,W02000055,0.3784175267065001,0.6215824732934999,5523.0
53,W02000056,0.44486166007905137,0.5551383399209486,5060.0
54,W02000057,0.30149597238204834,0.6985040276179517,6083.0
55,W02000058,0.17118201886413806,0.8288179811358619,4983.0
56,W02000059,0.1598245064243184,0.8401754935756816,6382.0
57,W02000060,0.11793588139019928,0.8820641186098007,10387.0
58,W02000061,0.10818553888130969,0.8918144611186903,7330.0
59,W02000062,0.11856710393541876,0.8814328960645812,5946.0
60,W02000063,0.17201863745120263,0.8279813625487974,7941.0
61,W02000064,0.07442489851150202,0.925575101488498,5912.0
62,W02000065,0.08270569845104447,0.9172943015489555,7037.0
63,W02000066,0.07543601596974155,0.9245639840302584,9518.0
64,W02000067,0.09386771131535332,0.9061322886846467,6637.0
65,W02000068,0.06848233668837576,0.9315176633116242,5067.0
66,W02000069,0.1245708680725846,0.8754291319274154,6117.0
67,W02000070,0.09838430467397577,0.9016156953260243,10398.0
68,W02000071,0.12697951474647684,0.8730204852535232,6883.0
69,W02000072,0.06825817860300619,0.9317418213969938,11310.0
70,W02000073,0.1838428831747317,0.8161571168252683,9878.0
71,W02000074,0.09989528795811518,0.9001047120418848,9550.0
72,W02000075,0.11177227404310068,0.8882277259568994,6218.0
73,W02000076,0.15619314205738277,0.8438068579426172,7145.0
74,W02000077,0.1254431875738646,0.8745568124261354,5923.0
75,W02000080,0.11847968545216252,0.8815203145478375,7630.0
76,W02000081,0.1296522802725843,0.8703477197274156,5723.0
77,W02000082,0.11301416048550236,0.8869858395144976,7415.0
78,W02000083,0.15174307545367718,0.8482569245463228,8376.0
79,W02000085,0.10712237641931414,0.8928776235806859,8719.0
80,W02000087,0.08613094333890324,0.9138690566610967,6583.0
81,W02000088,0.12086997860708343,0.8791300213929165,8414.0
82,W02000089,0.11460728548953164,0.8853927145104683,8263.0
83,W02000090,0.1743997111391948,0.8256002888608052,5539.0
84,W02000091,0.14842578710644677,0.8515742128935532,6003.0
85,W02000092,0.20113706207744314,0.7988629379225568,6508.0
86,W02000093,0.12125959580134733,0.8787404041986526,6383.0
87,W02000094,0.11315483119906869,0.8868451688009313,8590.0
88,W02000095,0.07940565585556798,0.920594344144432,6259.0
89,W02000096,0.1573853720450579,0.8426146279549421,6303.0
90,W02000097,0.2893724585119244,0.7106275414880756,9099.0
91,W02000098,0.11520209458353788,0.8847979054164621,6111.0
92,W02000099,0.11274813895781638,0.8872518610421837,6448.0
93,W02000100,0.4888521882741536,0.5111478117258464,6055.0
94,W02000101,0.1,0.9,5380.0
95,W02000102,0.2585690515806988,0.7414309484193011,6010.0
96,W02000103,0.09340659340659341,0.9065934065934066,5642.0
97,W02000104,0.12508294625082947,0.8749170537491705,6028.0
98,W02000105,0.1193158953722334,0.8806841046277666,4970.0
99,W02000106,0.17111286503551698,0.8288871349644831,6335.0
100,W02000107,0.0695142378559464,0.9304857621440537,9552.0
101,W02000108,0.10498650376473931,0.8950134962352607,7039.0
102,W02000109,0.10335399197958439,0.8966460080204156,5486.0
103,W02000110,0.1349812734082397,0.8650187265917603,6675.0
104,W02000111,0.08350428381802824,0.9164957161819718,8287.0
105,W02000113,0.10891458411040657,0.8910854158895934,8043.0
106,W02000114,0.10330639235855989,0.8966936076414401,6805.0
107,W02000116,0.4961779013203614,0.5038220986796387,7195.0
108,W02000117,0.2554317235168299,0.7445682764831701,8883.0
109,W02000118,0.330575882914413,0.669424117085587,6286.0
110,W02000120,0.5208574739281576,0.47914252607184243,6904.0
111,W02000122,0.45506072874493925,0.5449392712550607,6175.0
112,W02000123,0.49813383097840574,0.5018661690215942,7502.0
113,W02000124,0.48551838278756354,0.5144816172124365,8459.0
114,W02000125,0.5078275199121121,0.49217248008788794,7282.0
115,W02000126,0.4944658624549185,0.5055341375450815,8041.0
116,W02000127,0.33400637619553664,0.6659936238044634,9410.0
117,W02000128,0.2847085328076598,0.7152914671923402,7102.0
118,W02000129,0.29530583214793743,0.7046941678520626,7030.0
119,W02000130,0.11741955445544554,0.8825804455445545,6464.0
120,W02000131,0.12628718535469108,0.8737128146453089,6992.0
121,W02000132,0.19051105579147753,0.8094889442085225,6829.0
122,W02000133,0.12365790447982229,0.8763420955201777,8103.0
123,W02000134,0.09086437968769212,0.9091356203123079,8133.0
124,W02000135,0.08642495784148398,0.913575042158516,7116.0
125,W02000136,0.10909090909090909,0.8909090909090909,8140.0
126,W02000137,0.07195546276965901,0.928044537230341,7185.0
127,W02000138,0.07545959811885421,0.9245404018811458,9356.0
128,W02000139,0.09795109054857898,0.902048909451421,7565.0
129,W02000140,0.08179756166713921,0.9182024383328607,7054.0
130,W02000141,0.11926121372031662,0.8807387862796834,5685.0
131,W02000142,0.5252730975745232,0.47472690242547677,5401.0
132,W02000143,0.4018298261665142,0.5981701738334858,5465.0
133,W02000144,0.46390230810520666,0.5360976918947934,7452.0
134,W02000145,0.45697841726618704,0.543021582733813,6950.0
135,W02000146,0.5009375,0.4990625,6400.0
136,W02000147,0.3962332928311057,0.6037667071688942,8230.0
137,W02000148,0.3426490848258217,0.6573509151741783,5081.0
138,W02000149,0.3977689243027888,0.6022310756972111,6275.0
139,W02000151,0.5322175732217573,0.46778242677824267,7170.0
140,W02000152,0.494714336619551,0.505285663380449,8419.0
141,W02000153,0.49473808679200665,0.5052619132079934,8457.0
142,W02000154,0.481413371863917,0.518586628136083,7613.0
143,W02000156,0.5674685553791672,0.4325314446208328,8189.0
144,W02000157,0.581274249540535,0.418725750459465,9794.0
145,W02000158,0.3957200491141905,0.6042799508858095,5701.0
146,W02000159,0.40621384895058665,0.5937861510494133,6051.0
147,W02000160,0.3445547210300429,0.6554452789699571,7456.0
148,W02000161,0.24573919936583433,0.7542608006341657,5046.0
149,W02000162,0.29354838709677417,0.7064516129032258,8060.0
150,W02000163,0.26042471042471044,0.7395752895752896,5180.0
151,W02000164,0.30305967049702337,0.6969403295029766,7223.0
152,W02000165,0.20589157004073957,0.7941084299592605,6382.0
153,W02000166,0.2383543012580755,0.7616456987419246,8823.0
154,W02000167,0.18755662941709453,0.8124433705829055,9933.0
155,W02000168,0.253507803878291,0.7464921961217089,6343.0
156,W02000169,0.21443856290122762,0.7855614370987724,8879.0
157,W02000170,0.11847223859483673,0.8815277614051633,8483.0
158,W02000171,0.15569666625961656,0.8443033337403835,8189.0
159,W02000172,0.13393127078504485,0.8660687292149551,9923.0
160,W02000173,0.13365434669443,0.86634565330557,7684.0
161,W02000174,0.16100427350427352,0.8389957264957265,9360.0
162,W02000175,0.09871003925967471,0.9012899607403253,7132.0
163,W02000176,0.09284399447768063,0.9071560055223193,8692.0
164,W02000177,0.13119834710743802,0.868801652892562,6776.0
165,W02000178,0.07400401938763447,0.9259959806123655,8459.0
166,W02000179,0.11820480404551201,0.881795195954488,6328.0
167,W02000180,0.08694527105705784,0.9130547289429422,7729.0
168,W02000181,0.07960756832515767,0.9203924316748423,7135.0
169,W02000182,0.06646567082362614,0.9335343291763738,7297.0
170,W02000183,0.06851945426983325,0.9314805457301667,9895.0
171,W02000184,0.09630867385690414,0.9036913261430959,6583.0
172,W02000185,0.118052738336714,0.881947261663286,4930.0
173,W02000186,0.05574162679425837,0.9442583732057416,8360.0
174,W02000188,0.07281553398058252,0.9271844660194175,7828.0
175,W02000189,0.10429600198659052,0.8957039980134095,8054.0
176,W02000191,0.12389586238958623,0.8761041376104137,8604.0
177,W02000192,0.0670998095664837,0.9329001904335164,8927.0
178,W02000193,0.09888467287570427,0.9011153271242958,8697.0
179,W02000194,0.13490330630068623,0.8650966936993137,6412.0
180,W02000195,0.11429073033707865,0.8857092696629213,5696.0
181,W02000196,0.1103515625,0.8896484375,6144.0
182,W02000197,0.10010060362173039,0.8998993963782697,5964.0
183,W02000198,0.12057832678270634,0.8794216732172937,7124.0
184,W02000200,0.1879503602882306,0.8120496397117695,4996.0
185,W02000201,0.16301183776440908,0.8369881622355909,5153.0
186,W02000202,0.25245118233500863,0.7475488176649914,12137.0
187,W02000204,0.11953488372093023,0.8804651162790698,6450.0
188,W02000205,0.10419268510258697,0.895807314897413,5605.0
189,W02000206,0.08799252452888959,0.9120074754711104,6421.0
190,W02000207,0.10524256651017215,0.8947574334898278,5112.0
191,W02000208,0.09780406774167409,0.902195932258326,12341.0
192,W02000210,0.08946753463528627,0.9105324653647138,5991.0
193,W02000211,0.09144072301967039,0.9085592769803296,7524.0
194,W02000212,0.12646432374866878,0.8735356762513312,7512.0
195,W02000213,0.0856795008370111,0.9143204991629889,6571.0
196,W02000214,0.07142096860031932,0.9285790313996807,9395.0
197,W02000215,0.06594724220623502,0.934052757793765,9174.0
198,W02000216,0.08624641833810888,0.9137535816618911,6980.0
199,W02000217,0.08453873352619737,0.9154612664738027,6222.0
200,W02000218,0.08069522036002483,0.9193047796399751,6444.0
201,W02000219,0.1194051194051194,0.8805948805948806,6993.0
202,W02000220,0.07314551563711554,0.9268544843628844,7738.0
203,W02000221,0.09824184673198229,0.9017581532680177,7451.0
204,W02000222,0.11819235225955968,0.8818076477404403,6041.0
205,W02000223,0.09640831758034027,0.9035916824196597,5819.0
206,W02000224,0.08887825115685336,0.9111217488431467,6267.0
207,W02000225,0.08169405230270771,0.9183059476972923,8642.0
208,W02000226,0.09684684684684684,0.9031531531531531,9768.0
209,W02000227,0.09248878923766816,0.9075112107623319,7136.0
210,W02000228,0.10715816545220745,0.8928418345477925,11665.0
211,W02000229,0.06739312657166806,0.9326068734283319,5965.0
212,W02000230,0.10663292969455991,0.89336707030544,5533.0
213,W02000231,0.08105432495978221,0.9189456750402178,8081.0
214,W02000232,0.08940754039497308,0.9105924596050269,5570.0
215,W02000233,0.0923025658113962,0.9076974341886038,6002.0
216,W02000234,0.09911042351576098,0.9008895764842391,10342.0
217,W02000235,0.08531173729753716,0.9146882627024628,9014.0
218,W02000236,0.07337434094903339,0.9266256590509666,6828.0
219,W02000237,0.13373453694416584,0.8662654630558342,5982.0
220,W02000238,0.14465702286514232,0.8553429771348576,6429.0
221,W02000239,0.1260115606936416,0.8739884393063584,7785.0
222,W02000240,0.11183384685609951,0.8881661531439005,8763.0
223,W02000241,0.1279911522219988,0.8720088477780013,9946.0
224,W02000242,0.11506643268989722,0.8849335673101028,7978.0
225,W02000243,0.1089086859688196,0.8910913140311804,8980.0
226,W02000244,0.11050339309227185,0.8894966069077281,9873.0
227,W02000245,0.09792655508368724,0.9020734449163128,8006.0
228,W02000246,0.10767160161507403,0.892328398384926,5201.0
229,W02000247,0.10025918944392083,0.8997408105560791,8488.0
230,W02000248,0.10817166372721929,0.8918283362727807,10206.0
231,W02000249,0.11919049299917638,0.8808095070008236,8499.0
232,W02000250,0.10295029680163019,0.8970497031983699,11287.0
233,W02000251,0.12275926794931957,0.8772407320506804,10655.0
234,W02000252,0.13419816595839856,0.8658018340416014,8942.0
235,W02000253,0.11459920755867113,0.8854007924413289,6562.0
236,W02000254,0.11531461258450339,0.8846853874154966,7692.0
237,W02000255,0.09979179060083283,0.9002082093991671,6724.0
238,W02000256,0.08905322362253931,0.9109467763774607,9601.0
239,W02000257,0.11101622544833475,0.8889837745516652,7026.0
240,W02000258,0.13066233531853455,0.8693376646814654,5541.0
241,W02000259,0.09000900090009001,0.90999099909991,5555.0
242,W02000260,0.09085992428339643,0.9091400757166036,5547.0
243,W02000261,0.15029601722282024,0.8497039827771797,7432.0
244,W02000262,0.1151219512195122,0.8848780487804878,5125.0
245,W02000263,0.1104433977586487,0.8895566022413514,6157.0
246,W02000264,0.10640232811931612,0.8935976718806838,5498.0
247,W02000265,0.12252252252252252,0.8774774774774775,8880.0
248,W02000266,0.14242298660035915,0.8575770133996409,7239.0
249,W02000267,0.09256252029879831,0.9074374797012017,6158.0
250,W02000268,0.12804526036254474,0.8719547396374553,8661.0
251,W02000269,0.08265190590011322,0.9173480940998868,7949.0
252,W02000270,0.1332499218016891,0.866750078198311,6394.0
253,W02000271,0.10136674259681093,0.8986332574031891,5268.0
254,W02000272,0.138343207566781,0.861656792433219,9621.0
255,W02000273,0.102835127926504,0.897164872073496,10123.0
256,W02000274,0.10237974683544304,0.897620253164557,9875.0
257,W02000275,0.10627444312191804,0.893725556878082,5881.0
258,W02000276,0.15427391166190021,0.8457260883380998,6294.0
259,W02000277,0.13067929554536037,0.8693207044546396,6757.0
260,W02000278,0.19533494197403195,0.8046650580259681,8703.0
261,W02000279,0.11923539633738806,0.880764603662612,7481.0
262,W02000280,0.1466955579631636,0.8533044420368364,9230.0
263,W02000281,0.15101592531576058,0.8489840746842394,7284.0
264,W02000282,0.17640712102139902,0.823592878978601,11122.0
265,W02000284,0.07634265423879272,0.9236573457612073,9012.0
266,W02000285,0.09582096933728981,0.9041790306627102,8088.0
267,W02000286,0.08051948051948052,0.9194805194805195,6545.0
268,W02000287,0.10478077780530097,0.8952192221946991,8074.0
269,W02000288,0.09947643979057591,0.900523560209424,7831.0
270,W02000289,0.1125,0.8875,8400.0
271,W02000290,0.09382924767540152,0.9061707523245984,8281.0
272,W02000291,0.07121965486984498,0.9287803451301551,6838.0
273,W02000292,0.11577449759914636,0.8842255024008536,5623.0
274,W02000293,0.09712416049595315,0.9028758395040468,5807.0
275,W02000294,0.08776108464639062,0.9122389153536093,5458.0
276,W02000295,0.08684381075826313,0.9131561892417369,9258.0
277,W02000296,0.09446072275708106,0.9055392772429189,7167.0
278,W02000297,0.11459773292784076,0.8854022670721593,7234.0
279,W02000298,0.08818874982016976,0.9118112501798302,6951.0
280,W02000299,0.0837171052631579,0.9162828947368421,6080.0
281,W02000300,0.086033382425135,0.913966617574865,8148.0
282,W02000301,0.10768033212247016,0.8923196678775298,7708.0
283,W02000302,0.13837257331681124,0.8616274266831888,9684.0
284,W02000303,0.10646002317497102,0.893539976825029,6904.0
285,W02000304,0.08470764617691154,0.9152923538230885,5336.0
286,W02000305,0.07135644564119825,0.9286435543588017,5942.0
287,W02000306,0.07528840315725562,0.9247115968427444,4941.0
