,GEOGRAPHY_CODE,All other sexual orientations,Bisexual,Gay or Lesbian,Not answered,Straight or Heterosexual,Total: All usual residents aged 16 years and over
3761,E02003927,0.007723267703687588,0.028391167192429023,0.015772870662460567,0.08082236484281519,0.8672903295986076,9193.0
3762,E02003928,0.00340697914515796,0.015176543464794549,0.009807970266363824,0.06462936196572372,0.90697914515796,9686.0
3763,E02003929,0.0021966880702940185,0.008279824264954376,0.01774248056775938,0.07789793849273403,0.8938830686042581,5918.0
3764,E02003930,0.0015820698747528016,0.01041529334212261,0.013183915622940013,0.06921555702043507,0.9056031641397495,7585.0
3765,E02003931,0.0029575702422932545,0.0112615174610397,0.009896485041519736,0.08121942896143783,0.8946649982937095,8791.0
3766,E02003932,0.0016105653084232566,0.007730713480431631,0.00966339185053954,0.0866484135931712,0.8943469157674344,6209.0
3767,E02003933,0.0018299783729828648,0.008318083513558476,0.01048078522708368,0.07486275162202628,0.9045084012643487,6011.0
3768,E02003934,0.002014098690835851,0.006545820745216516,0.009231285666330984,0.08039610607586438,0.9018126888217523,5958.0
3769,E02003935,0.0024260067928190197,0.011644832605531296,0.012008733624454149,0.08284813197476953,0.891072295002426,8244.0
3770,E02003936,0.002488938053097345,0.006222345132743363,0.009126106194690266,0.09789823008849557,0.8842643805309734,7232.0
3771,E02003937,0.002682163611980331,0.008270004470272686,0.008717031738936076,0.06392489941886455,0.9164059007599463,4474.0
3772,E02003938,0.0008960573476702509,0.00878136200716846,0.01021505376344086,0.06415770609318996,0.9159498207885305,5580.0
3773,E02003939,0.0015660344527579607,0.009918218200800417,0.011832260309726814,0.07690969201322428,0.8997737950234905,5747.0
3774,E02003940,0.0016339869281045752,0.007080610021786492,0.008896151053013798,0.07824981844589687,0.9041394335511983,5508.0
3775,E02003941,0.005080324042290265,0.012357544967733078,0.012357544967733078,0.07812714540711245,0.8920774406151312,7283.0
3776,E02003942,0.0023592324630386913,0.011481597986788298,0.012268008807801196,0.08524693299779805,0.8886442277445737,6358.0
3777,E02003943,0.002031144211238998,0.012525389302640487,0.017095463777928234,0.06990521327014218,0.8984427894380501,5908.0
3778,E02003944,0.002224824355971897,0.011007025761124122,0.013817330210772834,0.08817330210772834,0.8847775175644028,8540.0
3779,E02003945,0.0034849951597289448,0.006195546950629236,0.01452081316553727,0.07163601161665054,0.904162633107454,5165.0
3780,E02003946,0.002413311317159914,0.009907278038867014,0.014479867902959482,0.0668106185697955,0.9063889241712181,7873.0
3781,E02003947,0.0021413276231263384,0.011955745895788723,0.02069950035688794,0.0904710920770878,0.8747323340471093,5604.0
3782,E02003948,0.00415889860892012,0.011329413451885845,0.011616234045604475,0.09422056503656963,0.8786748888570199,6973.0
3783,E02003949,0.004559004032965106,0.017183938278099244,0.0241977906365071,0.0876731544800982,0.8663861125723303,5703.0
3784,E02003950,0.0023855996530036867,0.011711125569290826,0.014313597918022121,0.07807417046193885,0.8935155063977446,4611.0
3785,E02003951,0.0023913909924272616,0.00996412913511359,0.01534475886807493,0.07313670785173376,0.8991630131526505,5018.0
3786,E02003952,0.00395206527281999,0.012876083630800611,0.013513513513513514,0.07840387557368689,0.891254462009179,7844.0
3787,E02003953,0.0027251050300897014,0.007948223004428295,0.01453389349381174,0.0723288293402975,0.9024639491313727,8807.0
3788,E02003954,0.003771876885938443,0.017350633675316838,0.013277006638503319,0.09158117079058539,0.874019312009656,6628.0
3789,E02003955,0.0029722981809535134,0.012364760432766615,0.012126976578290333,0.07668529306860064,0.8958506717393889,8411.0
3790,E02003956,0.0029977911012937833,0.009308930261912275,0.012306721363206059,0.07857368254970022,0.8968128747238877,6338.0
3791,E02003957,0.00405079921173637,0.011386030216772498,0.013575651412305672,0.06864462447996497,0.9023428946792205,9134.0
3792,E02003958,0.0034282307348338053,0.00983753167387092,0.011029959755552243,0.0651363839618423,0.9105678938739007,6709.0
3793,E02003959,0.0017699115044247787,0.010442477876106195,0.012566371681415929,0.08247787610619468,0.8927433628318584,5650.0
3794,E02003960,0.0006026516673362796,0.010044194455604661,0.012655685014061873,0.07231820008035356,0.9043792687826436,4978.0
3795,E02003961,0.0008743442418186361,0.009867599300524606,0.009867599300524606,0.07556832375718212,0.90382213339995,8006.0
3796,E02003962,0.002176096417810512,0.015400066956812855,0.017408771342484097,0.07080682959491129,0.8942082356879812,5974.0
3797,E02003963,0.0030211480362537764,0.01365558912386707,0.01836858006042296,0.08277945619335347,0.8821752265861027,8275.0
3798,E02003964,0.0024369266055045873,0.008744266055045871,0.01132454128440367,0.07396788990825688,0.903526376146789,6976.0
3799,E02003965,0.001074229240519927,0.007841873455795467,0.008916102696315393,0.05757868729186808,0.9245891073155011,9309.0
3800,E02003966,0.0018248175182481751,0.007465162574651626,0.008128732581287325,0.0676841406768414,0.9148971466489715,6028.0
3801,E02003967,0.0010390381475434169,0.006382662906338133,0.008609173222502597,0.06724061154816684,0.916728514175449,6737.0
3802,E02003968,0.002146210596914822,0.005902079141515761,0.010731052984574111,0.05821596244131456,0.9230046948356807,7455.0
3803,E02003969,0.0013320647002854425,0.0070409134157944815,0.011988582302568981,0.0736441484300666,0.9059942911512845,5255.0
3804,E02003970,0.0015841013824884793,0.009360599078341013,0.011232718894009217,0.05213133640552996,0.9256912442396313,6944.0
3805,E02003971,0.001511258878645912,0.008916427384010881,0.009218679159740064,0.06301949523953453,0.9173341393380686,6617.0
3806,E02003972,0.002009915583545491,0.009513600428781991,0.011523516012327482,0.05775157443387378,0.9192013935414712,7463.0
3807,E02003973,0.0027263595924809873,0.012053379250968575,0.013201320132013201,0.0594059405940594,0.9126130004304779,6969.0
3808,E02003974,0.0022497187851518562,0.008998875140607425,0.012052064920456372,0.06074240719910011,0.9159569339546842,6223.0
3809,E02003975,0.001164337990685296,0.0041583499667332,0.010312707917498337,0.05854956753160346,0.9258150365934797,6012.0
3810,E02003976,0.0014534883720930232,0.005450581395348837,0.014898255813953489,0.07321947674418605,0.9049781976744186,5504.0
3811,E02003977,0.0015322735108216816,0.008619038498371959,0.008044435931813828,0.06167400881057269,0.9201302432484199,5221.0
3812,E02003978,0.002054653790836244,0.009040476679679475,0.014793507294020958,0.0614341483460037,0.9126772138894597,4867.0
3813,E02003979,0.009118086696562033,0.0034379671150971598,0.004185351270553065,0.058893871449925264,0.9243647234678625,6690.0
