,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ACCTYPE_9_NAME,OBS_VALUE
0,2021,E02006475,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",15
1,2021,E02006475,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,17
2,2021,E02006476,2021 super output areas - middle layer,152,Total,3977
3,2021,E02006476,2021 super output areas - middle layer,152,Detached,405
4,2021,E02006476,2021 super output areas - middle layer,152,Semi-detached,1369
5,2021,E02006476,2021 super output areas - middle layer,152,Terraced,1623
6,2021,E02006476,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,520
7,2021,E02006476,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",38
8,2021,E02006476,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",6
9,2021,E02006476,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",15
10,2021,E02006476,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,1
11,2021,E02006477,2021 super output areas - middle layer,152,Total,3473
12,2021,E02006477,2021 super output areas - middle layer,152,Detached,2283
13,2021,E02006477,2021 super output areas - middle layer,152,Semi-detached,807
14,2021,E02006477,2021 super output areas - middle layer,152,Terraced,213
15,2021,E02006477,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,112
16,2021,E02006477,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",46
17,2021,E02006477,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",5
18,2021,E02006477,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",5
19,2021,E02006477,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,2
20,2021,E02006478,2021 super output areas - middle layer,152,Total,3404
21,2021,E02006478,2021 super output areas - middle layer,152,Detached,1285
22,2021,E02006478,2021 super output areas - middle layer,152,Semi-detached,1485
23,2021,E02006478,2021 super output areas - middle layer,152,Terraced,519
24,2021,E02006478,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,98
25,2021,E02006478,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",5
26,2021,E02006478,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",1
