,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_OCCRAT_BEDROOMS_6_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All households,4331
1,2021,E02002483,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1944
2,2021,E02002483,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1654
3,2021,E02002483,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,682
4,2021,E02002483,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,48
5,2021,E02002483,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,3
6,2021,E02002484,2021 super output areas - middle layer,152,Total: All households,4594
7,2021,E02002484,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1246
8,2021,E02002484,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1796
9,2021,E02002484,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1454
10,2021,E02002484,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,88
11,2021,E02002484,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,10
12,2021,E02002485,2021 super output areas - middle layer,152,Total: All households,3539
13,2021,E02002485,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1106
14,2021,E02002485,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1333
15,2021,E02002485,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1032
16,2021,E02002485,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,63
17,2021,E02002485,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,5
18,2021,E02002489,2021 super output areas - middle layer,152,Total: All households,3241
19,2021,E02002489,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1071
20,2021,E02002489,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1120
21,2021,E02002489,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,983
22,2021,E02002489,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,62
23,2021,E02002489,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,5
24,2021,E02002490,2021 super output areas - middle layer,152,Total: All households,2646
25,2021,E02002490,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,871
26,2021,E02002490,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1069
27,2021,E02002490,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,656
28,2021,E02002490,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,46
29,2021,E02002490,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,4
30,2021,E02002491,2021 super output areas - middle layer,152,Total: All households,2809
31,2021,E02002491,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,956
32,2021,E02002491,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1050
33,2021,E02002491,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,738
34,2021,E02002491,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,60
35,2021,E02002491,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,5
36,2021,E02002492,2021 super output areas - middle layer,152,Total: All households,2975
37,2021,E02002492,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,927
38,2021,E02002492,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1242
39,2021,E02002492,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,738
40,2021,E02002492,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,61
41,2021,E02002492,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,7
42,2021,E02002493,2021 super output areas - middle layer,152,Total: All households,2955
43,2021,E02002493,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1530
44,2021,E02002493,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1029
45,2021,E02002493,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,372
46,2021,E02002493,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,21
47,2021,E02002493,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,3
48,2021,E02002494,2021 super output areas - middle layer,152,Total: All households,3389
49,2021,E02002494,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,750
50,2021,E02002494,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1266
51,2021,E02002494,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1239
52,2021,E02002494,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,124
53,2021,E02002494,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,10
54,2021,E02006909,2021 super output areas - middle layer,152,Total: All households,5508
55,2021,E02006909,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,3199
56,2021,E02006909,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1764
57,2021,E02006909,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,510
58,2021,E02006909,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,30
59,2021,E02006909,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,5
60,2021,E02007059,2021 super output areas - middle layer,152,Total: All households,4940
61,2021,E02007059,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1917
62,2021,E02007059,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1914
63,2021,E02007059,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1003
64,2021,E02007059,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,94
65,2021,E02007059,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,12
66,2021,E02002496,2021 super output areas - middle layer,152,Total: All households,4460
67,2021,E02002496,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,644
68,2021,E02002496,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1574
69,2021,E02002496,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,1860
70,2021,E02002496,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,292
71,2021,E02002496,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,90
72,2021,E02002497,2021 super output areas - middle layer,152,Total: All households,2745
73,2021,E02002497,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,725
74,2021,E02002497,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1115
75,2021,E02002497,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,795
76,2021,E02002497,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,97
