,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_UKFORCEVET_6_NAME,OBS_VALUE
63,2021,E02002497,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,10
64,2021,E02002497,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4486
65,2021,E02002498,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6675
66,2021,E02002498,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,127
67,2021,E02002498,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,32
68,2021,E02002498,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,7
69,2021,E02002498,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,6509
70,2021,E02002499,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5640
71,2021,E02002499,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,188
72,2021,E02002499,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,49
73,2021,E02002499,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,6
74,2021,E02002499,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5397
75,2021,E02002500,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4668
76,2021,E02002500,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,121
77,2021,E02002500,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,27
78,2021,E02002500,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,6
79,2021,E02002500,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4514
80,2021,E02002501,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4717
81,2021,E02002501,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,118
82,2021,E02002501,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,43
83,2021,E02002501,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,6
84,2021,E02002501,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4550
85,2021,E02002502,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,7520
86,2021,E02002502,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,268
87,2021,E02002502,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,63
88,2021,E02002502,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,14
89,2021,E02002502,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,7175
90,2021,E02002503,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5079
91,2021,E02002503,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,155
92,2021,E02002503,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,45
93,2021,E02002503,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,6
94,2021,E02002503,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,4873
95,2021,E02002504,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,7703
96,2021,E02002504,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,167
97,2021,E02002504,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,55
98,2021,E02002504,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,14
99,2021,E02002504,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,7467
100,2021,E02002505,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4677
101,2021,E02002505,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,130
