,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RESUK_6_NAME,OBS_VALUE
72,2021,E02002497,2021 super output areas - middle layer,152,Total: All usual residents,6114
73,2021,E02002497,2021 super output areas - middle layer,152,Born in the UK,5207
74,2021,E02002497,2021 super output areas - middle layer,152,10 years or more,265
75,2021,E02002497,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",185
76,2021,E02002497,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",194
77,2021,E02002497,2021 super output areas - middle layer,152,Less than 2 years,263
78,2021,E02002498,2021 super output areas - middle layer,152,Total: All usual residents,8505
79,2021,E02002498,2021 super output areas - middle layer,152,Born in the UK,4844
80,2021,E02002498,2021 super output areas - middle layer,152,10 years or more,985
81,2021,E02002498,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",633
82,2021,E02002498,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",787
83,2021,E02002498,2021 super output areas - middle layer,152,Less than 2 years,1256
84,2021,E02002499,2021 super output areas - middle layer,152,Total: All usual residents,7682
85,2021,E02002499,2021 super output areas - middle layer,152,Born in the UK,7320
86,2021,E02002499,2021 super output areas - middle layer,152,10 years or more,200
87,2021,E02002499,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",72
88,2021,E02002499,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",51
89,2021,E02002499,2021 super output areas - middle layer,152,Less than 2 years,39
90,2021,E02002500,2021 super output areas - middle layer,152,Total: All usual residents,5906
91,2021,E02002500,2021 super output areas - middle layer,152,Born in the UK,4951
92,2021,E02002500,2021 super output areas - middle layer,152,10 years or more,518
93,2021,E02002500,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",163
94,2021,E02002500,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",129
95,2021,E02002500,2021 super output areas - middle layer,152,Less than 2 years,145
96,2021,E02002501,2021 super output areas - middle layer,152,Total: All usual residents,6266
97,2021,E02002501,2021 super output areas - middle layer,152,Born in the UK,5474
98,2021,E02002501,2021 super output areas - middle layer,152,10 years or more,460
99,2021,E02002501,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",182
100,2021,E02002501,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",91
101,2021,E02002501,2021 super output areas - middle layer,152,Less than 2 years,59
102,2021,E02002502,2021 super output areas - middle layer,152,Total: All usual residents,9791
103,2021,E02002502,2021 super output areas - middle layer,152,Born in the UK,9412
104,2021,E02002502,2021 super output areas - middle layer,152,10 years or more,201
105,2021,E02002502,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",81
106,2021,E02002502,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",43
107,2021,E02002502,2021 super output areas - middle layer,152,Less than 2 years,54
108,2021,E02002503,2021 super output areas - middle layer,152,Total: All usual residents,6836
109,2021,E02002503,2021 super output areas - middle layer,152,Born in the UK,6168
110,2021,E02002503,2021 super output areas - middle layer,152,10 years or more,399
111,2021,E02002503,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",121
112,2021,E02002503,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",87
113,2021,E02002503,2021 super output areas - middle layer,152,Less than 2 years,61
114,2021,E02002504,2021 super output areas - middle layer,152,Total: All usual residents,9755
115,2021,E02002504,2021 super output areas - middle layer,152,Born in the UK,8255
116,2021,E02002504,2021 super output areas - middle layer,152,10 years or more,928
117,2021,E02002504,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",275
118,2021,E02002504,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",158
119,2021,E02002504,2021 super output areas - middle layer,152,Less than 2 years,139
120,2021,E02002505,2021 super output areas - middle layer,152,Total: All usual residents,6386
121,2021,E02002505,2021 super output areas - middle layer,152,Born in the UK,6159
122,2021,E02002505,2021 super output areas - middle layer,152,10 years or more,103
123,2021,E02002505,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",43
124,2021,E02002505,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",44
125,2021,E02002505,2021 super output areas - middle layer,152,Less than 2 years,37
126,2021,E02002506,2021 super output areas - middle layer,152,Total: All usual residents,5598
127,2021,E02002506,2021 super output areas - middle layer,152,Born in the UK,5002
128,2021,E02002506,2021 super output areas - middle layer,152,10 years or more,270
129,2021,E02002506,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",83
130,2021,E02002506,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",82
131,2021,E02002506,2021 super output areas - middle layer,152,Less than 2 years,161
132,2021,E02002507,2021 super output areas - middle layer,152,Total: All usual residents,6235
133,2021,E02002507,2021 super output areas - middle layer,152,Born in the UK,5795
134,2021,E02002507,2021 super output areas - middle layer,152,10 years or more,310
135,2021,E02002507,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",51
136,2021,E02002507,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",41
137,2021,E02002507,2021 super output areas - middle layer,152,Less than 2 years,38
138,2021,E02002508,2021 super output areas - middle layer,152,Total: All usual residents,5426
139,2021,E02002508,2021 super output areas - middle layer,152,Born in the UK,4965
140,2021,E02002508,2021 super output areas - middle layer,152,10 years or more,372
141,2021,E02002508,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",51
142,2021,E02002508,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",20
143,2021,E02002508,2021 super output areas - middle layer,152,Less than 2 years,18
144,2021,E02002509,2021 super output areas - middle layer,152,Total: All usual residents,5145
145,2021,E02002509,2021 super output areas - middle layer,152,Born in the UK,4812
146,2021,E02002509,2021 super output areas - middle layer,152,10 years or more,189
147,2021,E02002509,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",41
148,2021,E02002509,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",33
149,2021,E02002509,2021 super output areas - middle layer,152,Less than 2 years,70
150,2021,E02002510,2021 super output areas - middle layer,152,Total: All usual residents,7095
151,2021,E02002510,2021 super output areas - middle layer,152,Born in the UK,6800
152,2021,E02002510,2021 super output areas - middle layer,152,10 years or more,198
153,2021,E02002510,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",38
154,2021,E02002510,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",33
155,2021,E02002510,2021 super output areas - middle layer,152,Less than 2 years,26
156,2021,E02002512,2021 super output areas - middle layer,152,Total: All usual residents,5339
157,2021,E02002512,2021 super output areas - middle layer,152,Born in the UK,5186
158,2021,E02002512,2021 super output areas - middle layer,152,10 years or more,96
159,2021,E02002512,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",19
160,2021,E02002512,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",30
161,2021,E02002512,2021 super output areas - middle layer,152,Less than 2 years,8
162,2021,E02002513,2021 super output areas - middle layer,152,Total: All usual residents,10238
163,2021,E02002513,2021 super output areas - middle layer,152,Born in the UK,9910
164,2021,E02002513,2021 super output areas - middle layer,152,10 years or more,216
165,2021,E02002513,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",48
166,2021,E02002513,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",31
167,2021,E02002513,2021 super output areas - middle layer,152,Less than 2 years,33
168,2021,E02002514,2021 super output areas - middle layer,152,Total: All usual residents,8340
169,2021,E02002514,2021 super output areas - middle layer,152,Born in the UK,8069
170,2021,E02002514,2021 super output areas - middle layer,152,10 years or more,201
171,2021,E02002514,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",37
172,2021,E02002514,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",16
173,2021,E02002514,2021 super output areas - middle layer,152,Less than 2 years,17
174,2021,E02006811,2021 super output areas - middle layer,152,Total: All usual residents,11408
175,2021,E02006811,2021 super output areas - middle layer,152,Born in the UK,10773
176,2021,E02006811,2021 super output areas - middle layer,152,10 years or more,389
177,2021,E02006811,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",96
178,2021,E02006811,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",64
179,2021,E02006811,2021 super output areas - middle layer,152,Less than 2 years,86
180,2021,E02002515,2021 super output areas - middle layer,152,Total: All usual residents,6474
181,2021,E02002515,2021 super output areas - middle layer,152,Born in the UK,6148
182,2021,E02002515,2021 super output areas - middle layer,152,10 years or more,157
183,2021,E02002515,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",20
184,2021,E02002515,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",82
185,2021,E02002515,2021 super output areas - middle layer,152,Less than 2 years,67
186,2021,E02002516,2021 super output areas - middle layer,152,Total: All usual residents,5871
187,2021,E02002516,2021 super output areas - middle layer,152,Born in the UK,5703
188,2021,E02002516,2021 super output areas - middle layer,152,10 years or more,116
189,2021,E02002516,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",19
190,2021,E02002516,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",18
191,2021,E02002516,2021 super output areas - middle layer,152,Less than 2 years,15
192,2021,E02002517,2021 super output areas - middle layer,152,Total: All usual residents,5315
193,2021,E02002517,2021 super output areas - middle layer,152,Born in the UK,5160
194,2021,E02002517,2021 super output areas - middle layer,152,10 years or more,107
195,2021,E02002517,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",20
196,2021,E02002517,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",17
197,2021,E02002517,2021 super output areas - middle layer,152,Less than 2 years,11
198,2021,E02002518,2021 super output areas - middle layer,152,Total: All usual residents,10879
199,2021,E02002518,2021 super output areas - middle layer,152,Born in the UK,10615
200,2021,E02002518,2021 super output areas - middle layer,152,10 years or more,198
201,2021,E02002518,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",20
202,2021,E02002518,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",28
203,2021,E02002518,2021 super output areas - middle layer,152,Less than 2 years,18
204,2021,E02002519,2021 super output areas - middle layer,152,Total: All usual residents,7473
205,2021,E02002519,2021 super output areas - middle layer,152,Born in the UK,7258
206,2021,E02002519,2021 super output areas - middle layer,152,10 years or more,140
207,2021,E02002519,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",19
208,2021,E02002519,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",38
209,2021,E02002519,2021 super output areas - middle layer,152,Less than 2 years,18
210,2021,E02002520,2021 super output areas - middle layer,152,Total: All usual residents,13088
211,2021,E02002520,2021 super output areas - middle layer,152,Born in the UK,12771
212,2021,E02002520,2021 super output areas - middle layer,152,10 years or more,230
213,2021,E02002520,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",24
214,2021,E02002520,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",33
215,2021,E02002520,2021 super output areas - middle layer,152,Less than 2 years,30
216,2021,E02002521,2021 super output areas - middle layer,152,Total: All usual residents,5874
217,2021,E02002521,2021 super output areas - middle layer,152,Born in the UK,5603
218,2021,E02002521,2021 super output areas - middle layer,152,10 years or more,170
219,2021,E02002521,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",25
220,2021,E02002521,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",30
221,2021,E02002521,2021 super output areas - middle layer,152,Less than 2 years,46
222,2021,E02002523,2021 super output areas - middle layer,152,Total: All usual residents,6386
223,2021,E02002523,2021 super output areas - middle layer,152,Born in the UK,6106
224,2021,E02002523,2021 super output areas - middle layer,152,10 years or more,160
225,2021,E02002523,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",64
226,2021,E02002523,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",36
227,2021,E02002523,2021 super output areas - middle layer,152,Less than 2 years,20
228,2021,E02002524,2021 super output areas - middle layer,152,Total: All usual residents,5398
229,2021,E02002524,2021 super output areas - middle layer,152,Born in the UK,5311
230,2021,E02002524,2021 super output areas - middle layer,152,10 years or more,75
231,2021,E02002524,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",7
232,2021,E02002524,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",5
233,2021,E02002524,2021 super output areas - middle layer,152,Less than 2 years,0
234,2021,E02002525,2021 super output areas - middle layer,152,Total: All usual residents,7973
235,2021,E02002525,2021 super output areas - middle layer,152,Born in the UK,7810
236,2021,E02002525,2021 super output areas - middle layer,152,10 years or more,105
237,2021,E02002525,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",11
238,2021,E02002525,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",15
239,2021,E02002525,2021 super output areas - middle layer,152,Less than 2 years,32
240,2021,E02002526,2021 super output areas - middle layer,152,Total: All usual residents,7707
241,2021,E02002526,2021 super output areas - middle layer,152,Born in the UK,7552
242,2021,E02002526,2021 super output areas - middle layer,152,10 years or more,113
243,2021,E02002526,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",16
244,2021,E02002526,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",10
245,2021,E02002526,2021 super output areas - middle layer,152,Less than 2 years,16
246,2021,E02002527,2021 super output areas - middle layer,152,Total: All usual residents,5086
247,2021,E02002527,2021 super output areas - middle layer,152,Born in the UK,4974
248,2021,E02002527,2021 super output areas - middle layer,152,10 years or more,77
249,2021,E02002527,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",17
250,2021,E02002527,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",10
251,2021,E02002527,2021 super output areas - middle layer,152,Less than 2 years,8
252,2021,E02002529,2021 super output areas - middle layer,152,Total: All usual residents,5740
253,2021,E02002529,2021 super output areas - middle layer,152,Born in the UK,5619
254,2021,E02002529,2021 super output areas - middle layer,152,10 years or more,91
255,2021,E02002529,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",9
256,2021,E02002529,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",15
257,2021,E02002529,2021 super output areas - middle layer,152,Less than 2 years,6
258,2021,E02002530,2021 super output areas - middle layer,152,Total: All usual residents,6180
259,2021,E02002530,2021 super output areas - middle layer,152,Born in the UK,6079
260,2021,E02002530,2021 super output areas - middle layer,152,10 years or more,76
261,2021,E02002530,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",18
262,2021,E02002530,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",2
263,2021,E02002530,2021 super output areas - middle layer,152,Less than 2 years,5
264,2021,E02002532,2021 super output areas - middle layer,152,Total: All usual residents,6736
265,2021,E02002532,2021 super output areas - middle layer,152,Born in the UK,6548
266,2021,E02002532,2021 super output areas - middle layer,152,10 years or more,142
267,2021,E02002532,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",20
268,2021,E02002532,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",18
269,2021,E02002532,2021 super output areas - middle layer,152,Less than 2 years,8
270,2021,E02002533,2021 super output areas - middle layer,152,Total: All usual residents,6566
271,2021,E02002533,2021 super output areas - middle layer,152,Born in the UK,6395
272,2021,E02002533,2021 super output areas - middle layer,152,10 years or more,124
273,2021,E02002533,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",31
274,2021,E02002533,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",7
275,2021,E02002533,2021 super output areas - middle layer,152,Less than 2 years,9
276,2021,E02002534,2021 super output areas - middle layer,152,Total: All usual residents,5574
277,2021,E02002534,2021 super output areas - middle layer,152,Born in the UK,5429
278,2021,E02002534,2021 super output areas - middle layer,152,10 years or more,116
279,2021,E02002534,2021 super output areas - middle layer,152,"5 years or more, but less than 10 years",11
280,2021,E02002534,2021 super output areas - middle layer,152,"2 years or more, but less than 5 years",8
