,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_COB_12_NAME,OBS_VALUE
69,2021,E02002490,2021 super output areas - middle layer,152,British Overseas,3
70,2021,E02002491,2021 super output areas - middle layer,152,Total: All usual residents,6472
71,2021,E02002491,2021 super output areas - middle layer,152,Europe,6317
72,2021,E02002491,2021 super output areas - middle layer,152,Europe: United Kingdom,6249
73,2021,E02002491,2021 super output areas - middle layer,152,Europe: EU countries,64
74,2021,E02002491,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU14,37
75,2021,E02002491,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU8,20
76,2021,E02002491,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU2,3
77,2021,E02002491,2021 super output areas - middle layer,152,Europe: EU countries: All other EU countries,4
78,2021,E02002491,2021 super output areas - middle layer,152,Europe: Non-EU countries - All other non-EU countries,4
79,2021,E02002491,2021 super output areas - middle layer,152,Africa,21
80,2021,E02002491,2021 super output areas - middle layer,152,Middle East and Asia,103
81,2021,E02002491,2021 super output areas - middle layer,152,The Americas and the Caribbean,27
82,2021,E02002491,2021 super output areas - middle layer,152,Antarctica and Oceania (including Australasia) and Other,2
83,2021,E02002491,2021 super output areas - middle layer,152,British Overseas,2
84,2021,E02002492,2021 super output areas - middle layer,152,Total: All usual residents,6775
85,2021,E02002492,2021 super output areas - middle layer,152,Europe,6680
86,2021,E02002492,2021 super output areas - middle layer,152,Europe: United Kingdom,6585
87,2021,E02002492,2021 super output areas - middle layer,152,Europe: EU countries,90
88,2021,E02002492,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU14,33
89,2021,E02002492,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU8,46
90,2021,E02002492,2021 super output areas - middle layer,152,Europe: EU countries: European Union EU2,4
91,2021,E02002492,2021 super output areas - middle layer,152,Europe: EU countries: All other EU countries,7
92,2021,E02002492,2021 super output areas - middle layer,152,Europe: Non-EU countries - All other non-EU countries,5
93,2021,E02002492,2021 super output areas - middle layer,152,Africa,8
94,2021,E02002492,2021 super output areas - middle layer,152,Middle East and Asia,70
95,2021,E02002492,2021 super output areas - middle layer,152,The Americas and the Caribbean,15
96,2021,E02002492,2021 super output areas - middle layer,152,Antarctica and Oceania (including Australasia) and Other,2
97,2021,E02002492,2021 super output areas - middle layer,152,British Overseas,0
98,2021,E02002493,2021 super output areas - middle layer,152,Total: All usual residents,6751
99,2021,E02002493,2021 super output areas - middle layer,152,Europe,6673
