,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANG_9_NAME,OBS_VALUE
73,2021,W02000008,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,421
74,2021,W02000008,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,206
75,2021,W02000008,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,83
76,2021,W02000008,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,17
77,2021,W02000008,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,60
78,2021,W02000008,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,39
79,2021,W02000008,2021 super output areas - middle layer,152,No skills in Welsh,1419
80,2021,W02000009,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7824
81,2021,W02000009,2021 super output areas - middle layer,152,Can understand spoken Welsh only,638
82,2021,W02000009,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",4420
83,2021,W02000009,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,467
84,2021,W02000009,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,227
85,2021,W02000009,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,71
86,2021,W02000009,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,13
87,2021,W02000009,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,39
88,2021,W02000009,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,66
89,2021,W02000009,2021 super output areas - middle layer,152,No skills in Welsh,1883
90,2021,W02000010,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8465
91,2021,W02000010,2021 super output areas - middle layer,152,Can understand spoken Welsh only,657
92,2021,W02000010,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",1939
93,2021,W02000010,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,275
94,2021,W02000010,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,155
95,2021,W02000010,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,147
96,2021,W02000010,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,11
97,2021,W02000010,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,55
98,2021,W02000010,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,26
99,2021,W02000010,2021 super output areas - middle layer,152,No skills in Welsh,5200
100,2021,W02000011,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8091
101,2021,W02000011,2021 super output areas - middle layer,152,Can understand spoken Welsh only,1127
102,2021,W02000011,2021 super output areas - middle layer,152,"Can speak, read and write Welsh",3248
103,2021,W02000011,2021 super output areas - middle layer,152,Can speak but cannot read or write Welsh,579
104,2021,W02000011,2021 super output areas - middle layer,152,Can speak and read but cannot write Welsh,332
105,2021,W02000011,2021 super output areas - middle layer,152,Can read but cannot speak or write Welsh,151
106,2021,W02000011,2021 super output areas - middle layer,152,Can write but cannot speak or read Welsh,36
107,2021,W02000011,2021 super output areas - middle layer,152,Can read and write but cannot speak Welsh,83
108,2021,W02000011,2021 super output areas - middle layer,152,Can speak and other combinations of skills in Welsh,56
109,2021,W02000011,2021 super output areas - middle layer,152,No skills in Welsh,2479
