,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WLANGS_3_NAME,OBS_VALUE
67,2021,W02000023,2021 super output areas - middle layer,152,Cannot speak Welsh,1695
68,2021,W02000023,2021 super output areas - middle layer,152,Can speak Welsh,3470
69,2021,W02000024,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5557
70,2021,W02000024,2021 super output areas - middle layer,152,Cannot speak Welsh,1790
71,2021,W02000024,2021 super output areas - middle layer,152,Can speak Welsh,3767
72,2021,W02000025,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5997
73,2021,W02000025,2021 super output areas - middle layer,152,Cannot speak Welsh,2761
74,2021,W02000025,2021 super output areas - middle layer,152,Can speak Welsh,3236
75,2021,W02000026,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6853
76,2021,W02000026,2021 super output areas - middle layer,152,Cannot speak Welsh,4107
77,2021,W02000026,2021 super output areas - middle layer,152,Can speak Welsh,2746
78,2021,W02000027,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8264
79,2021,W02000027,2021 super output areas - middle layer,152,Cannot speak Welsh,6923
80,2021,W02000027,2021 super output areas - middle layer,152,Can speak Welsh,1341
81,2021,W02000028,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6543
82,2021,W02000028,2021 super output areas - middle layer,152,Cannot speak Welsh,5318
83,2021,W02000028,2021 super output areas - middle layer,152,Can speak Welsh,1225
84,2021,W02000029,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5853
85,2021,W02000029,2021 super output areas - middle layer,152,Cannot speak Welsh,4643
86,2021,W02000029,2021 super output areas - middle layer,152,Can speak Welsh,1210
87,2021,W02000030,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,5759
88,2021,W02000030,2021 super output areas - middle layer,152,Cannot speak Welsh,4783
89,2021,W02000030,2021 super output areas - middle layer,152,Can speak Welsh,976
90,2021,W02000031,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7987
91,2021,W02000031,2021 super output areas - middle layer,152,Cannot speak Welsh,7093
92,2021,W02000031,2021 super output areas - middle layer,152,Can speak Welsh,894
93,2021,W02000032,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8181
94,2021,W02000032,2021 super output areas - middle layer,152,Cannot speak Welsh,6193
95,2021,W02000032,2021 super output areas - middle layer,152,Can speak Welsh,1988
96,2021,W02000033,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6729
97,2021,W02000033,2021 super output areas - middle layer,152,Cannot speak Welsh,5481
98,2021,W02000033,2021 super output areas - middle layer,152,Can speak Welsh,1248
99,2021,W02000034,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,7497
100,2021,W02000034,2021 super output areas - middle layer,152,Cannot speak Welsh,5891
101,2021,W02000034,2021 super output areas - middle layer,152,Can speak Welsh,1606
102,2021,W02000035,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,8640
103,2021,W02000035,2021 super output areas - middle layer,152,Cannot speak Welsh,6969
104,2021,W02000035,2021 super output areas - middle layer,152,Can speak Welsh,1671
105,2021,W02000036,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,10982
106,2021,W02000036,2021 super output areas - middle layer,152,Cannot speak Welsh,8884
107,2021,W02000036,2021 super output areas - middle layer,152,Can speak Welsh,2098
