,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_UKFORCEVET_6_NAME,OBS_VALUE
0,2021,E02000959,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6318
1,2021,E02000959,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,37
2,2021,E02000959,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,26
3,2021,E02000959,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,3
4,2021,E02000959,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,6252
5,2021,E02007083,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6743
6,2021,E02007083,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,33
7,2021,E02007083,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,36
8,2021,E02007083,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,3
9,2021,E02007083,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,6671
10,2021,E02007084,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,8287
11,2021,E02007084,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,50
12,2021,E02007084,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,34
13,2021,E02007084,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,3
14,2021,E02007084,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,8200
15,2021,E02000960,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5224
16,2021,E02000960,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,38
17,2021,E02000960,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,27
18,2021,E02000960,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,3
19,2021,E02000960,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5156
20,2021,E02000961,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,8021
21,2021,E02000961,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,43
22,2021,E02000961,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,31
23,2021,E02000961,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,9
24,2021,E02000961,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,7938
25,2021,E02000962,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6725
26,2021,E02000962,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,50
27,2021,E02000962,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,24
28,2021,E02000962,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,2
29,2021,E02000962,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,6649
30,2021,E02000963,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,8646
31,2021,E02000963,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,36
32,2021,E02000963,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,29
33,2021,E02000963,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,0
34,2021,E02000963,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,8581
35,2021,E02000964,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,10292
36,2021,E02000964,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,45
37,2021,E02000964,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,21
38,2021,E02000964,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,5
39,2021,E02000964,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,10221
40,2021,E02000965,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6798
41,2021,E02000965,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,24
42,2021,E02000965,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,29
43,2021,E02000965,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,3
44,2021,E02000965,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,6742
45,2021,E02000966,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,7962
46,2021,E02000966,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,56
47,2021,E02000966,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,32
48,2021,E02000966,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,5
49,2021,E02000966,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,7869
50,2021,E02000967,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5427
51,2021,E02000967,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,39
52,2021,E02000967,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,31
53,2021,E02000967,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,7
54,2021,E02000967,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5350
55,2021,E02000968,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,12040
56,2021,E02000968,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,64
57,2021,E02000968,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,27
58,2021,E02000968,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,19
59,2021,E02000968,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,11930
60,2021,E02000969,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,7837
61,2021,E02000969,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,37
62,2021,E02000969,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,19
63,2021,E02000969,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,1
64,2021,E02000969,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,7780
65,2021,E02000970,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6126
66,2021,E02000970,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,53
67,2021,E02000970,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,23
68,2021,E02000970,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,2
69,2021,E02000970,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,6048
70,2021,E02000971,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6748
71,2021,E02000971,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,51
72,2021,E02000971,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,26
73,2021,E02000971,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,2
74,2021,E02000971,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,6669
75,2021,E02000972,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,7269
76,2021,E02000972,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,48
77,2021,E02000972,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,30
78,2021,E02000972,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,2
79,2021,E02000972,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,7189
80,2021,E02000973,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,8789
81,2021,E02000973,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,62
82,2021,E02000973,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,51
83,2021,E02000973,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,1
84,2021,E02000973,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,8675
85,2021,E02000974,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,7689
86,2021,E02000974,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,54
87,2021,E02000974,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,37
88,2021,E02000974,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,5
89,2021,E02000974,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,7593
90,2021,E02000975,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6753
91,2021,E02000975,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,31
92,2021,E02000975,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,25
93,2021,E02000975,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,3
94,2021,E02000975,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,6694
95,2021,E02000976,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,7513
96,2021,E02000976,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,46
97,2021,E02000976,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,31
98,2021,E02000976,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,2
99,2021,E02000976,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,7434
100,2021,E02000977,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5919
101,2021,E02000977,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,77
102,2021,E02000977,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,35
103,2021,E02000977,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,1
104,2021,E02000977,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5806
105,2021,E02000978,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6262
106,2021,E02000978,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,74
107,2021,E02000978,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,24
108,2021,E02000978,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,1
109,2021,E02000978,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,6163
110,2021,E02000979,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,7085
111,2021,E02000979,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,96
112,2021,E02000979,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,45
113,2021,E02000979,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,5
114,2021,E02000979,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,6939
115,2021,E02000980,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,7653
116,2021,E02000980,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,91
117,2021,E02000980,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,51
118,2021,E02000980,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,11
119,2021,E02000980,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,7500
120,2021,E02000981,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,7520
121,2021,E02000981,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,74
122,2021,E02000981,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,30
123,2021,E02000981,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,7
124,2021,E02000981,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,7409
125,2021,E02000982,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6577
126,2021,E02000982,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,66
127,2021,E02000982,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,40
128,2021,E02000982,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,4
129,2021,E02000982,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,6467
130,2021,E02000983,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,6589
131,2021,E02000983,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,83
132,2021,E02000983,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,25
133,2021,E02000983,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,5
134,2021,E02000983,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,6476
135,2021,E02003314,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,5618
136,2021,E02003314,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,244
137,2021,E02003314,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,44
138,2021,E02003314,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,12
139,2021,E02003314,2021 super output areas - middle layer,152,Has not previously served in any UK armed forces,5318
140,2021,E02003315,2021 super output areas - middle layer,152,Total: All usual residents aged 16 and over,4707
141,2021,E02003315,2021 super output areas - middle layer,152,Previously served in UK regular armed forces,131
142,2021,E02003315,2021 super output areas - middle layer,152,Previously served in UK reserve armed forces,50
143,2021,E02003315,2021 super output areas - middle layer,152,Previously served in both regular and reserve UK armed forces,9
