,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_OCCRAT_ROOMS_6_NAME,OBS_VALUE
64,2021,E02007059,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,166
65,2021,E02007059,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,24
66,2021,E02002496,2021 super output areas - middle layer,152,Total: All households,4460
67,2021,E02002496,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1177
68,2021,E02002496,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,1394
69,2021,E02002496,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,1416
70,2021,E02002496,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,367
71,2021,E02002496,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,106
72,2021,E02002497,2021 super output areas - middle layer,152,Total: All households,2744
73,2021,E02002497,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,964
74,2021,E02002497,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,950
75,2021,E02002497,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,669
76,2021,E02002497,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,140
77,2021,E02002497,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,21
78,2021,E02002498,2021 super output areas - middle layer,152,Total: All households,3643
79,2021,E02002498,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1272
80,2021,E02002498,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,1156
81,2021,E02002498,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,894
82,2021,E02002498,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,241
83,2021,E02002498,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,80
84,2021,E02002499,2021 super output areas - middle layer,152,Total: All households,3067
85,2021,E02002499,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1215
86,2021,E02002499,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,1022
87,2021,E02002499,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,651
88,2021,E02002499,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,154
89,2021,E02002499,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,25
90,2021,E02002500,2021 super output areas - middle layer,152,Total: All households,2332
91,2021,E02002500,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1266
92,2021,E02002500,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,616
93,2021,E02002500,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,342
94,2021,E02002500,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,90
95,2021,E02002500,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,18
96,2021,E02002501,2021 super output areas - middle layer,152,Total: All households,2608
97,2021,E02002501,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1129
98,2021,E02002501,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,772
99,2021,E02002501,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,618
100,2021,E02002501,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,78
101,2021,E02002501,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,11
102,2021,E02002502,2021 super output areas - middle layer,152,Total: All households,4352
103,2021,E02002502,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1763
104,2021,E02002502,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,1318
105,2021,E02002502,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,1115
106,2021,E02002502,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,135
107,2021,E02002502,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,21
108,2021,E02002503,2021 super output areas - middle layer,152,Total: All households,2740
109,2021,E02002503,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1316
110,2021,E02002503,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,787
111,2021,E02002503,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,511
112,2021,E02002503,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,107
113,2021,E02002503,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,19
114,2021,E02002504,2021 super output areas - middle layer,152,Total: All households,3778
115,2021,E02002504,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,2137
116,2021,E02002504,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,992
117,2021,E02002504,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,508
118,2021,E02002504,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,113
119,2021,E02002504,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,28
120,2021,E02002505,2021 super output areas - middle layer,152,Total: All households,2645
121,2021,E02002505,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1061
122,2021,E02002505,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,865
123,2021,E02002505,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,604
124,2021,E02002505,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,98
125,2021,E02002505,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,17
126,2021,E02002506,2021 super output areas - middle layer,152,Total: All households,2331
127,2021,E02002506,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,926
128,2021,E02002506,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,653
129,2021,E02002506,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,644
130,2021,E02002506,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,99
131,2021,E02002506,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,9
132,2021,E02002507,2021 super output areas - middle layer,152,Total: All households,2555
133,2021,E02002507,2021 super output areas - middle layer,152,Occupancy rating of rooms: +2 or more,1708
134,2021,E02002507,2021 super output areas - middle layer,152,Occupancy rating of rooms: +1,546
135,2021,E02002507,2021 super output areas - middle layer,152,Occupancy rating of rooms: 0,255
136,2021,E02002507,2021 super output areas - middle layer,152,Occupancy rating of rooms: -1,35
137,2021,E02002507,2021 super output areas - middle layer,152,Occupancy rating of rooms: -2 or less,11
138,2021,E02002508,2021 super output areas - middle layer,152,Total: All households,2279
