,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGE_SEX_20_NAME,OBS_VALUE
63,2021,E02001327,2021 super output areas - middle layer,152,Resident: Female: Aged 50 to 64 years,0
64,2021,E02001327,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,0
65,2021,E02001327,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,0
66,2021,E02001327,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,0
67,2021,E02001327,2021 super output areas - middle layer,152,Staff or owner,0
68,2021,E02001327,2021 super output areas - middle layer,152,Family member or partner of staff or owner,0
69,2021,E02001327,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),0
70,2021,E02001328,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,2
71,2021,E02001328,2021 super output areas - middle layer,152,Resident,2
72,2021,E02001328,2021 super output areas - middle layer,152,Resident:Male,2
73,2021,E02001328,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,0
74,2021,E02001328,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,0
75,2021,E02001328,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,0
76,2021,E02001328,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,1
77,2021,E02001328,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,1
78,2021,E02001328,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,0
79,2021,E02001328,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,0
80,2021,E02001328,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,0
81,2021,E02001328,2021 super output areas - middle layer,152,Resident:Female,0
82,2021,E02001328,2021 super output areas - middle layer,152,Resident: Female: Aged 0 to 15 years,0
83,2021,E02001328,2021 super output areas - middle layer,152,Resident: Female: Aged 16 to 24 years,0
84,2021,E02001328,2021 super output areas - middle layer,152,Resident: Female: Aged 25 to 34 years,0
85,2021,E02001328,2021 super output areas - middle layer,152,Resident: Female: Aged 35 to 49 years,0
86,2021,E02001328,2021 super output areas - middle layer,152,Resident: Female: Aged 50 to 64 years,0
87,2021,E02001328,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,0
88,2021,E02001328,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,0
89,2021,E02001328,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,0
90,2021,E02001328,2021 super output areas - middle layer,152,Staff or owner,0
91,2021,E02001328,2021 super output areas - middle layer,152,Family member or partner of staff or owner,0
92,2021,E02001328,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),0
93,2021,E02001329,2021 super output areas - middle layer,152,Total: All usual residents in communal establishments,42
94,2021,E02001329,2021 super output areas - middle layer,152,Resident,41
95,2021,E02001329,2021 super output areas - middle layer,152,Resident:Male,12
96,2021,E02001329,2021 super output areas - middle layer,152,Resident: Male: Aged 0 to 15 years,0
97,2021,E02001329,2021 super output areas - middle layer,152,Resident: Male: Aged 16 to 24 years,0
98,2021,E02001329,2021 super output areas - middle layer,152,Resident: Male: Aged 25 to 34 years,0
99,2021,E02001329,2021 super output areas - middle layer,152,Resident: Male: Aged 35 to 49 years,0
100,2021,E02001329,2021 super output areas - middle layer,152,Resident: Male: Aged 50 to 64 years,0
101,2021,E02001329,2021 super output areas - middle layer,152,Resident: Male: Aged 65 to 74 years,3
102,2021,E02001329,2021 super output areas - middle layer,152,Resident: Male: Aged 75 to 84 years,5
103,2021,E02001329,2021 super output areas - middle layer,152,Resident: Male: Aged 85 years and over,4
104,2021,E02001329,2021 super output areas - middle layer,152,Resident:Female,29
105,2021,E02001329,2021 super output areas - middle layer,152,Resident: Female: Aged 0 to 15 years,0
106,2021,E02001329,2021 super output areas - middle layer,152,Resident: Female: Aged 16 to 24 years,0
107,2021,E02001329,2021 super output areas - middle layer,152,Resident: Female: Aged 25 to 34 years,0
108,2021,E02001329,2021 super output areas - middle layer,152,Resident: Female: Aged 35 to 49 years,0
109,2021,E02001329,2021 super output areas - middle layer,152,Resident: Female: Aged 50 to 64 years,0
110,2021,E02001329,2021 super output areas - middle layer,152,Resident: Female: Aged 65 to 74 years,3
111,2021,E02001329,2021 super output areas - middle layer,152,Resident: Female: Aged 75 to 84 years,7
112,2021,E02001329,2021 super output areas - middle layer,152,Resident: Female: Aged 85 years and over,19
113,2021,E02001329,2021 super output areas - middle layer,152,Staff or owner,0
114,2021,E02001329,2021 super output areas - middle layer,152,Family member or partner of staff or owner,0
115,2021,E02001329,2021 super output areas - middle layer,152,Staying temporarily (no usual UK address),1
