,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NATID_71_NAME,OBS_VALUE
52,2021,E02003996,2021 super output areas - middle layer,152,UK identity: British only identity,5132
53,2021,E02003996,2021 super output areas - middle layer,152,UK identity: English only identity,1375
54,2021,E02003996,2021 super output areas - middle layer,152,UK identity: English and British only identity,1669
55,2021,E02003996,2021 super output areas - middle layer,152,UK identity:  Welsh only identity,15
56,2021,E02003996,2021 super output areas - middle layer,152,UK identity: Welsh and British only identity,9
57,2021,E02003996,2021 super output areas - middle layer,152,UK identity: Scottish only identity,197
58,2021,E02003996,2021 super output areas - middle layer,152,UK identity:  Scottish and British only identity,52
59,2021,E02003996,2021 super output areas - middle layer,152,UK identity: Northern Irish only identity,22
60,2021,E02003996,2021 super output areas - middle layer,152,UK identity: Northern Irish and British only identity,13
61,2021,E02003996,2021 super output areas - middle layer,152,UK identity: Cornish only identity,2
62,2021,E02003996,2021 super output areas - middle layer,152,UK identity: Cornish and British only identity,0
63,2021,E02003996,2021 super output areas - middle layer,152,UK identity: Any other combination of UK identities (UK only),16
64,2021,E02003996,2021 super output areas - middle layer,152,UK identity: Other identity and at least one UK identity ,89
65,2021,E02003996,2021 super output areas - middle layer,152,Other identity only,746
66,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: Guernsey Islander,0
67,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: Jersey Islander,0
68,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: Isle of Man (Manx),0
69,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: Channel Islander not otherwise specified,0
70,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: Irish only identity,23
71,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: Irish and at least one UK identity,0
72,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: European,541
73,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: European: EU countries,496
74,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: European: EU countries: French,4
75,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: European: EU countries: German,6
76,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: European: EU countries: Italian,6
77,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: European: EU countries: Portuguese,43
78,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: European: EU countries: Spanish (including Canary Islander),14
79,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: European: EU countries: Other member countries in March 2001,10
80,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: European: EU countries:  Lithuanian,13
81,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: European: EU countries:  Polish,170
82,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: European: EU countries: Romanian,142
83,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: European: EU countries: Other member countries,88
84,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: European: Non-EU countries,45
85,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: European: Non-EU countries: Turkish,4
86,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: European: Non-EU countries: Other European,41
87,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: African,28
88,2021,E02003996,2021 super output areas - middle layer,152,Other identity only: African: North African,11
