,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_OCCRAT_BEDROOMS_6_NAME,OBS_VALUE
71,2021,E02000154,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,871
72,2021,E02000154,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,123
73,2021,E02000154,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,10
74,2021,E02000155,2021 super output areas - middle layer,152,Total: All households,3041
75,2021,E02000155,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1123
76,2021,E02000155,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1161
77,2021,E02000155,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,644
78,2021,E02000155,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,94
79,2021,E02000155,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,19
80,2021,E02000156,2021 super output areas - middle layer,152,Total: All households,4860
81,2021,E02000156,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,2439
82,2021,E02000156,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1388
83,2021,E02000156,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,929
84,2021,E02000156,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,87
85,2021,E02000156,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,17
86,2021,E02000157,2021 super output areas - middle layer,152,Total: All households,3279
87,2021,E02000157,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1729
88,2021,E02000157,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,1087
89,2021,E02000157,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,426
90,2021,E02000157,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,36
91,2021,E02000157,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,1
92,2021,E02000158,2021 super output areas - middle layer,152,Total: All households,3032
93,2021,E02000158,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +2 or more,1373
94,2021,E02000158,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: +1,877
95,2021,E02000158,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: 0,640
96,2021,E02000158,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -1,124
97,2021,E02000158,2021 super output areas - middle layer,152,Occupancy rating of bedrooms: -2 or less,18
98,2021,E02000159,2021 super output areas - middle layer,152,Total: All households,2822
