,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_OCC_105_NAME,OBS_VALUE
64,2021,E02006374,2021 super output areas - middle layer,152,926 Other Elementary Services Occupations,60
65,2021,E02006375,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3343
66,2021,E02006375,2021 super output areas - middle layer,152,111 Chief Executives and Senior Officials,25
67,2021,E02006375,2021 super output areas - middle layer,152,112 Production Managers and Directors,125
68,2021,E02006375,2021 super output areas - middle layer,152,113 Functional Managers and Directors,243
69,2021,E02006375,2021 super output areas - middle layer,152,"114 Directors in Logistics, Warehousing and Transport",3
70,2021,E02006375,2021 super output areas - middle layer,152,115 Managers and Directors in Retail and Wholesale,63
71,2021,E02006375,2021 super output areas - middle layer,152,116 Senior Officers in Protective Services,8
72,2021,E02006375,2021 super output areas - middle layer,152,117 Health and Social Services Managers and Directors,16
73,2021,E02006375,2021 super output areas - middle layer,152,121 Managers and Proprietors in Agriculture Related Services,5
74,2021,E02006375,2021 super output areas - middle layer,152,122 Managers and Proprietors in Hospitality and Leisure Services,44
75,2021,E02006375,2021 super output areas - middle layer,152,123 Managers and Proprietors in Health and Care Services,18
76,2021,E02006375,2021 super output areas - middle layer,152,"124 Managers in Logistics, Warehousing and Transport",9
77,2021,E02006375,2021 super output areas - middle layer,152,125 Managers and Proprietors in Other Services,115
78,2021,E02006375,2021 super output areas - middle layer,152,211 Natural and Social Science Professionals,5
79,2021,E02006375,2021 super output areas - middle layer,152,212 Engineering Professionals,52
80,2021,E02006375,2021 super output areas - middle layer,152,213 Information Technology Professionals,108
81,2021,E02006375,2021 super output areas - middle layer,152,214 Web and Multimedia Design Professionals,16
82,2021,E02006375,2021 super output areas - middle layer,152,215 Conservation and Environment Professionals,5
83,2021,E02006375,2021 super output areas - middle layer,152,216 Research and Development (R&D) and Other Research Professionals,15
84,2021,E02006375,2021 super output areas - middle layer,152,221 Medical Practitioners,57
85,2021,E02006375,2021 super output areas - middle layer,152,222 Therapy Professionals,28
86,2021,E02006375,2021 super output areas - middle layer,152,223 Nursing and Midwifery Professionals,52
87,2021,E02006375,2021 super output areas - middle layer,152,224 Veterinarians,0
88,2021,E02006375,2021 super output areas - middle layer,152,225 Other Health Professionals,39
89,2021,E02006375,2021 super output areas - middle layer,152,231 Teaching and other Educational Professionals,143
90,2021,E02006375,2021 super output areas - middle layer,152,232 Other Educational Professionals,27
91,2021,E02006375,2021 super output areas - middle layer,152,241 Legal Professionals,41
92,2021,E02006375,2021 super output areas - middle layer,152,242 Finance Professionals,86
93,2021,E02006375,2021 super output areas - middle layer,152,"243 Business, Research and Administrative Professionals",53
94,2021,E02006375,2021 super output areas - middle layer,152,244 Business and Financial Project Management Professionals,50
95,2021,E02006375,2021 super output areas - middle layer,152,"245 Architects, Chartered Architectural Technologists, Planning Officers, Surveyors and Construction Professionals",37
96,2021,E02006375,2021 super output areas - middle layer,152,246 Welfare Professionals,16
97,2021,E02006375,2021 super output areas - middle layer,152,247 Librarians and Related Professionals,2
98,2021,E02006375,2021 super output areas - middle layer,152,248 Quality and Regulatory Professionals,8
99,2021,E02006375,2021 super output areas - middle layer,152,249 Media Professionals,31
