,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_STUDENT_3_NAME,OBS_VALUE
86,2021,E02002514,2021 super output areas - middle layer,152,Not a student,6518
87,2021,E02006811,2021 super output areas - middle layer,152,Total,10783
88,2021,E02006811,2021 super output areas - middle layer,152,Student,2056
89,2021,E02006811,2021 super output areas - middle layer,152,Not a student,8727
90,2021,E02002515,2021 super output areas - middle layer,152,Total,6173
91,2021,E02002515,2021 super output areas - middle layer,152,Student,1009
92,2021,E02002515,2021 super output areas - middle layer,152,Not a student,5164
93,2021,E02002516,2021 super output areas - middle layer,152,Total,5490
94,2021,E02002516,2021 super output areas - middle layer,152,Student,1104
95,2021,E02002516,2021 super output areas - middle layer,152,Not a student,4386
96,2021,E02002517,2021 super output areas - middle layer,152,Total,4998
97,2021,E02002517,2021 super output areas - middle layer,152,Student,989
98,2021,E02002517,2021 super output areas - middle layer,152,Not a student,4009
99,2021,E02002518,2021 super output areas - middle layer,152,Total,10378
100,2021,E02002518,2021 super output areas - middle layer,152,Student,1746
101,2021,E02002518,2021 super output areas - middle layer,152,Not a student,8632
102,2021,E02002519,2021 super output areas - middle layer,152,Total,7064
103,2021,E02002519,2021 super output areas - middle layer,152,Student,1417
104,2021,E02002519,2021 super output areas - middle layer,152,Not a student,5647
105,2021,E02002520,2021 super output areas - middle layer,152,Total,12590
106,2021,E02002520,2021 super output areas - middle layer,152,Student,2115
107,2021,E02002520,2021 super output areas - middle layer,152,Not a student,10475
108,2021,E02002521,2021 super output areas - middle layer,152,Total,5708
109,2021,E02002521,2021 super output areas - middle layer,152,Student,825
110,2021,E02002521,2021 super output areas - middle layer,152,Not a student,4883
111,2021,E02002523,2021 super output areas - middle layer,152,Total,5819
112,2021,E02002523,2021 super output areas - middle layer,152,Student,1543
113,2021,E02002523,2021 super output areas - middle layer,152,Not a student,4276
114,2021,E02002524,2021 super output areas - middle layer,152,Total,5155
115,2021,E02002524,2021 super output areas - middle layer,152,Student,945
116,2021,E02002524,2021 super output areas - middle layer,152,Not a student,4210
117,2021,E02002525,2021 super output areas - middle layer,152,Total,7636
118,2021,E02002525,2021 super output areas - middle layer,152,Student,1218
119,2021,E02002525,2021 super output areas - middle layer,152,Not a student,6418
120,2021,E02002526,2021 super output areas - middle layer,152,Total,7323
121,2021,E02002526,2021 super output areas - middle layer,152,Student,1341
122,2021,E02002526,2021 super output areas - middle layer,152,Not a student,5982
123,2021,E02002527,2021 super output areas - middle layer,152,Total,4753
