,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_PUR2ADDR_10_NAME,OBS_VALUE
79,2021,E02005885,2021 super output areas - middle layer,152,Second address type not specified,0
80,2021,E02005886,2021 super output areas - middle layer,152,Total: All usual residents,369
81,2021,E02005886,2021 super output areas - middle layer,152,Armed forces base address,11
82,2021,E02005886,2021 super output areas - middle layer,152,Another address when working away from home,19
83,2021,E02005886,2021 super output areas - middle layer,152,Holiday home,83
84,2021,E02005886,2021 super output areas - middle layer,152,Student's term-time address,2
85,2021,E02005886,2021 super output areas - middle layer,152,Student's home address,2
86,2021,E02005886,2021 super output areas - middle layer,152,Another parent or guardian's address,179
87,2021,E02005886,2021 super output areas - middle layer,152,Partner's address,33
88,2021,E02005886,2021 super output areas - middle layer,152,Other,40
89,2021,E02005886,2021 super output areas - middle layer,152,Second address type not specified,0
90,2021,E02005887,2021 super output areas - middle layer,152,Total: All usual residents,388
91,2021,E02005887,2021 super output areas - middle layer,152,Armed forces base address,2
92,2021,E02005887,2021 super output areas - middle layer,152,Another address when working away from home,29
93,2021,E02005887,2021 super output areas - middle layer,152,Holiday home,40
94,2021,E02005887,2021 super output areas - middle layer,152,Student's term-time address,1
95,2021,E02005887,2021 super output areas - middle layer,152,Student's home address,31
96,2021,E02005887,2021 super output areas - middle layer,152,Another parent or guardian's address,161
97,2021,E02005887,2021 super output areas - middle layer,152,Partner's address,49
98,2021,E02005887,2021 super output areas - middle layer,152,Other,75
99,2021,E02005887,2021 super output areas - middle layer,152,Second address type not specified,0
100,2021,E02005888,2021 super output areas - middle layer,152,Total: All usual residents,285
101,2021,E02005888,2021 super output areas - middle layer,152,Armed forces base address,5
102,2021,E02005888,2021 super output areas - middle layer,152,Another address when working away from home,17
103,2021,E02005888,2021 super output areas - middle layer,152,Holiday home,41
104,2021,E02005888,2021 super output areas - middle layer,152,Student's term-time address,5
105,2021,E02005888,2021 super output areas - middle layer,152,Student's home address,11
106,2021,E02005888,2021 super output areas - middle layer,152,Another parent or guardian's address,119
107,2021,E02005888,2021 super output areas - middle layer,152,Partner's address,31
108,2021,E02005888,2021 super output areas - middle layer,152,Other,56
109,2021,E02005888,2021 super output areas - middle layer,152,Second address type not specified,0
110,2021,E02005889,2021 super output areas - middle layer,152,Total: All usual residents,320
111,2021,E02005889,2021 super output areas - middle layer,152,Armed forces base address,10
112,2021,E02005889,2021 super output areas - middle layer,152,Another address when working away from home,28
113,2021,E02005889,2021 super output areas - middle layer,152,Holiday home,50
114,2021,E02005889,2021 super output areas - middle layer,152,Student's term-time address,6
115,2021,E02005889,2021 super output areas - middle layer,152,Student's home address,22
116,2021,E02005889,2021 super output areas - middle layer,152,Another parent or guardian's address,129
117,2021,E02005889,2021 super output areas - middle layer,152,Partner's address,26
118,2021,E02005889,2021 super output areas - middle layer,152,Other,49
119,2021,E02005889,2021 super output areas - middle layer,152,Second address type not specified,0
120,2021,E02005890,2021 super output areas - middle layer,152,Total: All usual residents,234
121,2021,E02005890,2021 super output areas - middle layer,152,Armed forces base address,4
122,2021,E02005890,2021 super output areas - middle layer,152,Another address when working away from home,13
123,2021,E02005890,2021 super output areas - middle layer,152,Holiday home,48
124,2021,E02005890,2021 super output areas - middle layer,152,Student's term-time address,2
125,2021,E02005890,2021 super output areas - middle layer,152,Student's home address,3
126,2021,E02005890,2021 super output areas - middle layer,152,Another parent or guardian's address,112
127,2021,E02005890,2021 super output areas - middle layer,152,Partner's address,25
128,2021,E02005890,2021 super output areas - middle layer,152,Other,27
129,2021,E02005890,2021 super output areas - middle layer,152,Second address type not specified,0
130,2021,E02005891,2021 super output areas - middle layer,152,Total: All usual residents,178
131,2021,E02005891,2021 super output areas - middle layer,152,Armed forces base address,5
132,2021,E02005891,2021 super output areas - middle layer,152,Another address when working away from home,15
133,2021,E02005891,2021 super output areas - middle layer,152,Holiday home,18
134,2021,E02005891,2021 super output areas - middle layer,152,Student's term-time address,2
135,2021,E02005891,2021 super output areas - middle layer,152,Student's home address,7
136,2021,E02005891,2021 super output areas - middle layer,152,Another parent or guardian's address,75
137,2021,E02005891,2021 super output areas - middle layer,152,Partner's address,21
138,2021,E02005891,2021 super output areas - middle layer,152,Other,35
139,2021,E02005891,2021 super output areas - middle layer,152,Second address type not specified,0
140,2021,E02005892,2021 super output areas - middle layer,152,Total: All usual residents,550
141,2021,E02005892,2021 super output areas - middle layer,152,Armed forces base address,16
142,2021,E02005892,2021 super output areas - middle layer,152,Another address when working away from home,46
143,2021,E02005892,2021 super output areas - middle layer,152,Holiday home,92
144,2021,E02005892,2021 super output areas - middle layer,152,Student's term-time address,1
145,2021,E02005892,2021 super output areas - middle layer,152,Student's home address,11
146,2021,E02005892,2021 super output areas - middle layer,152,Another parent or guardian's address,271
147,2021,E02005892,2021 super output areas - middle layer,152,Partner's address,41
148,2021,E02005892,2021 super output areas - middle layer,152,Other,72
149,2021,E02005892,2021 super output areas - middle layer,152,Second address type not specified,0
150,2021,E02005893,2021 super output areas - middle layer,152,Total: All usual residents,384
151,2021,E02005893,2021 super output areas - middle layer,152,Armed forces base address,10
152,2021,E02005893,2021 super output areas - middle layer,152,Another address when working away from home,21
153,2021,E02005893,2021 super output areas - middle layer,152,Holiday home,46
154,2021,E02005893,2021 super output areas - middle layer,152,Student's term-time address,5
155,2021,E02005893,2021 super output areas - middle layer,152,Student's home address,10
156,2021,E02005893,2021 super output areas - middle layer,152,Another parent or guardian's address,195
157,2021,E02005893,2021 super output areas - middle layer,152,Partner's address,44
