,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ACCTYPE_9_NAME,OBS_VALUE
67,2021,E02004783,2021 super output areas - middle layer,152,Total,2989
68,2021,E02004783,2021 super output areas - middle layer,152,Detached,1003
69,2021,E02004783,2021 super output areas - middle layer,152,Semi-detached,1089
70,2021,E02004783,2021 super output areas - middle layer,152,Terraced,690
71,2021,E02004783,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,183
72,2021,E02004783,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",14
73,2021,E02004783,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",2
74,2021,E02004783,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",8
75,2021,E02004783,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,0
76,2021,E02004784,2021 super output areas - middle layer,152,Total,2279
77,2021,E02004784,2021 super output areas - middle layer,152,Detached,1693
78,2021,E02004784,2021 super output areas - middle layer,152,Semi-detached,367
79,2021,E02004784,2021 super output areas - middle layer,152,Terraced,80
80,2021,E02004784,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,28
81,2021,E02004784,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",27
82,2021,E02004784,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",5
83,2021,E02004784,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",14
84,2021,E02004784,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,65
85,2021,E02004785,2021 super output areas - middle layer,152,Total,2405
86,2021,E02004785,2021 super output areas - middle layer,152,Detached,1386
87,2021,E02004785,2021 super output areas - middle layer,152,Semi-detached,499
88,2021,E02004785,2021 super output areas - middle layer,152,Terraced,138
89,2021,E02004785,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,155
90,2021,E02004785,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",73
91,2021,E02004785,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",35
92,2021,E02004785,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",62
93,2021,E02004785,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,57
94,2021,E02004786,2021 super output areas - middle layer,152,Total,3516
95,2021,E02004786,2021 super output areas - middle layer,152,Detached,1224
96,2021,E02004786,2021 super output areas - middle layer,152,Semi-detached,734
97,2021,E02004786,2021 super output areas - middle layer,152,Terraced,938
98,2021,E02004786,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,434
99,2021,E02004786,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",19
100,2021,E02004786,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",3
101,2021,E02004786,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",9
102,2021,E02004786,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,155
103,2021,E02004787,2021 super output areas - middle layer,152,Total,3453
104,2021,E02004787,2021 super output areas - middle layer,152,Detached,1734
105,2021,E02004787,2021 super output areas - middle layer,152,Semi-detached,585
106,2021,E02004787,2021 super output areas - middle layer,152,Terraced,401
107,2021,E02004787,2021 super output areas - middle layer,152,In a purpose-built block of flats or tenement,627
108,2021,E02004787,2021 super output areas - middle layer,152,"Part of a converted or shared house, including bedsits",48
109,2021,E02004787,2021 super output areas - middle layer,152,"Part of another converted building, for example, former school, church or warehouse",10
110,2021,E02004787,2021 super output areas - middle layer,152,"In a commercial building, for example, in an office building, hotel or over a shop",46
111,2021,E02004787,2021 super output areas - middle layer,152,A caravan or other mobile or temporary structure,2
112,2021,E02004788,2021 super output areas - middle layer,152,Total,2898
113,2021,E02004788,2021 super output areas - middle layer,152,Detached,1781
114,2021,E02004788,2021 super output areas - middle layer,152,Semi-detached,663
