,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,CELL_NAME,OBS_VALUE
72,2001,E02004609,2001 super output areas - middle layer,305,Age 75 to 84,369.0
73,2001,E02004609,2001 super output areas - middle layer,305,Age 85 to 89,44.0
74,2001,E02004609,2001 super output areas - middle layer,305,Age 90 and over,18.0
75,2001,E02004609,2001 super output areas - middle layer,305,Mean Age,39.87
76,2001,E02004609,2001 super output areas - middle layer,305,Median Age,40.0
77,2001,E02004610,2001 super output areas - middle layer,305,All usual residents,7098.0
78,2001,E02004610,2001 super output areas - middle layer,305,Age 0 to 4,268.0
79,2001,E02004610,2001 super output areas - middle layer,305,Age 5 to 7,146.0
80,2001,E02004610,2001 super output areas - middle layer,305,Age 8 to 9,103.0
81,2001,E02004610,2001 super output areas - middle layer,305,Age 10 to 14,414.0
82,2001,E02004610,2001 super output areas - middle layer,305,Age 15,97.0
83,2001,E02004610,2001 super output areas - middle layer,305,Age 16 to 17,212.0
84,2001,E02004610,2001 super output areas - middle layer,305,Age 18 to 19,299.0
85,2001,E02004610,2001 super output areas - middle layer,305,Age 20 to 24,535.0
86,2001,E02004610,2001 super output areas - middle layer,305,Age 25 to 29,487.0
87,2001,E02004610,2001 super output areas - middle layer,305,Age 30 to 44,1367.0
88,2001,E02004610,2001 super output areas - middle layer,305,Age 45 to 59,1224.0
89,2001,E02004610,2001 super output areas - middle layer,305,Age 60 to 64,344.0
90,2001,E02004610,2001 super output areas - middle layer,305,Age 65 to 74,686.0
91,2001,E02004610,2001 super output areas - middle layer,305,Age 75 to 84,622.0
92,2001,E02004610,2001 super output areas - middle layer,305,Age 85 to 89,183.0
93,2001,E02004610,2001 super output areas - middle layer,305,Age 90 and over,111.0
94,2001,E02004610,2001 super output areas - middle layer,305,Mean Age,42.37
95,2001,E02004610,2001 super output areas - middle layer,305,Median Age,40.0
96,2001,E02004611,2001 super output areas - middle layer,305,All usual residents,10109.0
97,2001,E02004611,2001 super output areas - middle layer,305,Age 0 to 4,508.0
98,2001,E02004611,2001 super output areas - middle layer,305,Age 5 to 7,350.0
99,2001,E02004611,2001 super output areas - middle layer,305,Age 8 to 9,253.0
100,2001,E02004611,2001 super output areas - middle layer,305,Age 10 to 14,647.0
101,2001,E02004611,2001 super output areas - middle layer,305,Age 15,116.0
