,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,COB_NAME,OBS_VALUE
0,2001,E02003199,2001 super output areas - middle layer,305,All people,9257
1,2001,E02003199,2001 super output areas - middle layer,305,England,8557
2,2001,E02003199,2001 super output areas - middle layer,305,Scotland,142
3,2001,E02003199,2001 super output areas - middle layer,305,Wales,145
4,2001,E02003199,2001 super output areas - middle layer,305,Northern Ireland,22
5,2001,E02003199,2001 super output areas - middle layer,305,Republic of Ireland,47
6,2001,E02003199,2001 super output areas - middle layer,305,Other EU countries,105
7,2001,E02003199,2001 super output areas - middle layer,305,Elsewhere,239
8,2001,E02003200,2001 super output areas - middle layer,305,All people,9754
9,2001,E02003200,2001 super output areas - middle layer,305,England,9004
10,2001,E02003200,2001 super output areas - middle layer,305,Scotland,153
11,2001,E02003200,2001 super output areas - middle layer,305,Wales,178
12,2001,E02003200,2001 super output areas - middle layer,305,Northern Ireland,16
13,2001,E02003200,2001 super output areas - middle layer,305,Republic of Ireland,46
14,2001,E02003200,2001 super output areas - middle layer,305,Other EU countries,155
15,2001,E02003200,2001 super output areas - middle layer,305,Elsewhere,202
16,2001,E02003201,2001 super output areas - middle layer,305,All people,9353
17,2001,E02003201,2001 super output areas - middle layer,305,England,8673
18,2001,E02003201,2001 super output areas - middle layer,305,Scotland,134
19,2001,E02003201,2001 super output areas - middle layer,305,Wales,130
20,2001,E02003201,2001 super output areas - middle layer,305,Northern Ireland,34
21,2001,E02003201,2001 super output areas - middle layer,305,Republic of Ireland,47
22,2001,E02003201,2001 super output areas - middle layer,305,Other EU countries,108
23,2001,E02003201,2001 super output areas - middle layer,305,Elsewhere,227
24,2001,E02003202,2001 super output areas - middle layer,305,All people,5763
25,2001,E02003202,2001 super output areas - middle layer,305,England,5098
26,2001,E02003202,2001 super output areas - middle layer,305,Scotland,98
27,2001,E02003202,2001 super output areas - middle layer,305,Wales,113
28,2001,E02003202,2001 super output areas - middle layer,305,Northern Ireland,22
29,2001,E02003202,2001 super output areas - middle layer,305,Republic of Ireland,39
30,2001,E02003202,2001 super output areas - middle layer,305,Other EU countries,126
31,2001,E02003202,2001 super output areas - middle layer,305,Elsewhere,267
32,2001,E02003203,2001 super output areas - middle layer,305,All people,7035
33,2001,E02003203,2001 super output areas - middle layer,305,England,6426
34,2001,E02003203,2001 super output areas - middle layer,305,Scotland,113
35,2001,E02003203,2001 super output areas - middle layer,305,Wales,118
36,2001,E02003203,2001 super output areas - middle layer,305,Northern Ireland,25
37,2001,E02003203,2001 super output areas - middle layer,305,Republic of Ireland,37
38,2001,E02003203,2001 super output areas - middle layer,305,Other EU countries,114
39,2001,E02003203,2001 super output areas - middle layer,305,Elsewhere,202
40,2001,E02003204,2001 super output areas - middle layer,305,All people,7887
41,2001,E02003204,2001 super output areas - middle layer,305,England,7092
42,2001,E02003204,2001 super output areas - middle layer,305,Scotland,165
43,2001,E02003204,2001 super output areas - middle layer,305,Wales,163
44,2001,E02003204,2001 super output areas - middle layer,305,Northern Ireland,41
45,2001,E02003204,2001 super output areas - middle layer,305,Republic of Ireland,57
46,2001,E02003204,2001 super output areas - middle layer,305,Other EU countries,127
47,2001,E02003204,2001 super output areas - middle layer,305,Elsewhere,242
48,2001,E02003205,2001 super output areas - middle layer,305,All people,7920
49,2001,E02003205,2001 super output areas - middle layer,305,England,7306
50,2001,E02003205,2001 super output areas - middle layer,305,Scotland,116
51,2001,E02003205,2001 super output areas - middle layer,305,Wales,138
52,2001,E02003205,2001 super output areas - middle layer,305,Northern Ireland,32
53,2001,E02003205,2001 super output areas - middle layer,305,Republic of Ireland,54
54,2001,E02003205,2001 super output areas - middle layer,305,Other EU countries,93
55,2001,E02003205,2001 super output areas - middle layer,305,Elsewhere,181
56,2001,E02003206,2001 super output areas - middle layer,305,All people,8708
57,2001,E02003206,2001 super output areas - middle layer,305,England,7780
58,2001,E02003206,2001 super output areas - middle layer,305,Scotland,166
59,2001,E02003206,2001 super output areas - middle layer,305,Wales,172
60,2001,E02003206,2001 super output areas - middle layer,305,Northern Ireland,50
61,2001,E02003206,2001 super output areas - middle layer,305,Republic of Ireland,64
62,2001,E02003206,2001 super output areas - middle layer,305,Other EU countries,135
