,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_HHSDUK11_NAME,OBS_VALUE
0,2001,E02002559,2001 super output areas - middle layer,305,All household spaces - with residents,2664
1,2001,E02002559,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,122
2,2001,E02002559,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,4
3,2001,E02002559,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,1320
4,2001,E02002559,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,932
5,2001,E02002559,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,452
6,2001,E02002559,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",31
7,2001,E02002559,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",6
8,2001,E02002559,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",19
9,2001,E02002559,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,30
10,2001,E02002560,2001 super output areas - middle layer,305,All household spaces - with residents,2422
11,2001,E02002560,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,83
12,2001,E02002560,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,0
13,2001,E02002560,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,308
14,2001,E02002560,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,1497
15,2001,E02002560,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,660
16,2001,E02002560,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",9
17,2001,E02002560,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",15
18,2001,E02002560,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",16
19,2001,E02002560,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,0
20,2001,E02002561,2001 super output areas - middle layer,305,All household spaces - with residents,2468
21,2001,E02002561,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,48
22,2001,E02002561,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,3
23,2001,E02002561,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,896
24,2001,E02002561,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,960
25,2001,E02002561,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,470
26,2001,E02002561,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",186
27,2001,E02002561,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",0
28,2001,E02002561,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",4
29,2001,E02002561,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,0
30,2001,E02002562,2001 super output areas - middle layer,305,All household spaces - with residents,2816
31,2001,E02002562,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,205
32,2001,E02002562,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,4
33,2001,E02002562,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,350
34,2001,E02002562,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,519
35,2001,E02002562,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,1507
36,2001,E02002562,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",571
37,2001,E02002562,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",40
38,2001,E02002562,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",37
39,2001,E02002562,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,0
40,2001,E02002563,2001 super output areas - middle layer,305,All household spaces - with residents,2368
41,2001,E02002563,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,42
42,2001,E02002563,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,0
43,2001,E02002563,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,418
44,2001,E02002563,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,1294
45,2001,E02002563,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,373
