,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_OCCPUK11_2_NAME,OBS_VALUE
70,2001,E02002566,2001 super output areas - middle layer,305,All categories: Occupation,1450
71,2001,E02002566,2001 super output areas - middle layer,305,1. Managers and senior officials,194
72,2001,E02002566,2001 super output areas - middle layer,305,2. Professional occupations,164
73,2001,E02002566,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,166
74,2001,E02002566,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,86
75,2001,E02002566,2001 super output areas - middle layer,305,5. Skilled trades occupations,260
76,2001,E02002566,2001 super output areas - middle layer,305,6. Personal service occupations,35
77,2001,E02002566,2001 super output areas - middle layer,305,7. Sales and customer service occupations,100
78,2001,E02002566,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",207
79,2001,E02002566,2001 super output areas - middle layer,305,9. Elementary occupations,238
80,2001,E02002567,2001 super output areas - middle layer,305,All categories: Occupation,1343
81,2001,E02002567,2001 super output areas - middle layer,305,1. Managers and senior officials,145
82,2001,E02002567,2001 super output areas - middle layer,305,2. Professional occupations,74
83,2001,E02002567,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,126
84,2001,E02002567,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,56
85,2001,E02002567,2001 super output areas - middle layer,305,5. Skilled trades occupations,314
86,2001,E02002567,2001 super output areas - middle layer,305,6. Personal service occupations,21
87,2001,E02002567,2001 super output areas - middle layer,305,7. Sales and customer service occupations,77
88,2001,E02002567,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",306
89,2001,E02002567,2001 super output areas - middle layer,305,9. Elementary occupations,224
90,2001,E02002568,2001 super output areas - middle layer,305,All categories: Occupation,1239
91,2001,E02002568,2001 super output areas - middle layer,305,1. Managers and senior officials,370
92,2001,E02002568,2001 super output areas - middle layer,305,2. Professional occupations,300
93,2001,E02002568,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,198
94,2001,E02002568,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,49
95,2001,E02002568,2001 super output areas - middle layer,305,5. Skilled trades occupations,125
96,2001,E02002568,2001 super output areas - middle layer,305,6. Personal service occupations,12
97,2001,E02002568,2001 super output areas - middle layer,305,7. Sales and customer service occupations,43
98,2001,E02002568,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",67
99,2001,E02002568,2001 super output areas - middle layer,305,9. Elementary occupations,75
100,2001,E02002569,2001 super output areas - middle layer,305,All categories: Occupation,2075
101,2001,E02002569,2001 super output areas - middle layer,305,1. Managers and senior officials,518
102,2001,E02002569,2001 super output areas - middle layer,305,2. Professional occupations,402
103,2001,E02002569,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,375
104,2001,E02002569,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,140
105,2001,E02002569,2001 super output areas - middle layer,305,5. Skilled trades occupations,280
106,2001,E02002569,2001 super output areas - middle layer,305,6. Personal service occupations,28
107,2001,E02002569,2001 super output areas - middle layer,305,7. Sales and customer service occupations,92
108,2001,E02002569,2001 super output areas - middle layer,305,"8. Process, plant and machine operatives",141
109,2001,E02002569,2001 super output areas - middle layer,305,9. Elementary occupations,99
110,2001,E02002570,2001 super output areas - middle layer,305,All categories: Occupation,1571
111,2001,E02002570,2001 super output areas - middle layer,305,1. Managers and senior officials,179
112,2001,E02002570,2001 super output areas - middle layer,305,2. Professional occupations,65
113,2001,E02002570,2001 super output areas - middle layer,305,3. Associate professional and technical occupations,161
114,2001,E02002570,2001 super output areas - middle layer,305,4. Administrative and secretarial occupations,87
115,2001,E02002570,2001 super output areas - middle layer,305,5. Skilled trades occupations,399
116,2001,E02002570,2001 super output areas - middle layer,305,6. Personal service occupations,41
