,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,COB_NAME,OBS_VALUE
83,2001,E02002569,2001 super output areas - middle layer,305,Wales,63
84,2001,E02002569,2001 super output areas - middle layer,305,Northern Ireland,36
85,2001,E02002569,2001 super output areas - middle layer,305,Republic of Ireland,37
86,2001,E02002569,2001 super output areas - middle layer,305,Other EU countries,69
87,2001,E02002569,2001 super output areas - middle layer,305,Elsewhere,209
88,2001,E02002570,2001 super output areas - middle layer,305,All people,7272
89,2001,E02002570,2001 super output areas - middle layer,305,England,6821
90,2001,E02002570,2001 super output areas - middle layer,305,Scotland,169
91,2001,E02002570,2001 super output areas - middle layer,305,Wales,46
92,2001,E02002570,2001 super output areas - middle layer,305,Northern Ireland,28
93,2001,E02002570,2001 super output areas - middle layer,305,Republic of Ireland,21
94,2001,E02002570,2001 super output areas - middle layer,305,Other EU countries,61
95,2001,E02002570,2001 super output areas - middle layer,305,Elsewhere,126
96,2001,E02002571,2001 super output areas - middle layer,305,All people,5090
97,2001,E02002571,2001 super output areas - middle layer,305,England,4766
98,2001,E02002571,2001 super output areas - middle layer,305,Scotland,120
99,2001,E02002571,2001 super output areas - middle layer,305,Wales,32
100,2001,E02002571,2001 super output areas - middle layer,305,Northern Ireland,17
101,2001,E02002571,2001 super output areas - middle layer,305,Republic of Ireland,14
102,2001,E02002571,2001 super output areas - middle layer,305,Other EU countries,46
103,2001,E02002571,2001 super output areas - middle layer,305,Elsewhere,95
104,2001,E02002572,2001 super output areas - middle layer,305,All people,6061
105,2001,E02002572,2001 super output areas - middle layer,305,England,5545
106,2001,E02002572,2001 super output areas - middle layer,305,Scotland,169
107,2001,E02002572,2001 super output areas - middle layer,305,Wales,46
108,2001,E02002572,2001 super output areas - middle layer,305,Northern Ireland,29
109,2001,E02002572,2001 super output areas - middle layer,305,Republic of Ireland,21
110,2001,E02002572,2001 super output areas - middle layer,305,Other EU countries,76
111,2001,E02002572,2001 super output areas - middle layer,305,Elsewhere,175
112,2001,E02002573,2001 super output areas - middle layer,305,All people,7222
113,2001,E02002573,2001 super output areas - middle layer,305,England,6712
114,2001,E02002573,2001 super output areas - middle layer,305,Scotland,214
115,2001,E02002573,2001 super output areas - middle layer,305,Wales,66
116,2001,E02002573,2001 super output areas - middle layer,305,Northern Ireland,24
117,2001,E02002573,2001 super output areas - middle layer,305,Republic of Ireland,30
118,2001,E02002573,2001 super output areas - middle layer,305,Other EU countries,55
119,2001,E02002573,2001 super output areas - middle layer,305,Elsewhere,121
120,2001,E02002483,2001 super output areas - middle layer,305,All people,7336
121,2001,E02002483,2001 super output areas - middle layer,305,England,7124
122,2001,E02002483,2001 super output areas - middle layer,305,Scotland,73
123,2001,E02002483,2001 super output areas - middle layer,305,Wales,37
124,2001,E02002483,2001 super output areas - middle layer,305,Northern Ireland,10
125,2001,E02002483,2001 super output areas - middle layer,305,Republic of Ireland,3
126,2001,E02002483,2001 super output areas - middle layer,305,Other EU countries,24
127,2001,E02002483,2001 super output areas - middle layer,305,Elsewhere,65
128,2001,E02002484,2001 super output areas - middle layer,305,All people,9691
129,2001,E02002484,2001 super output areas - middle layer,305,England,9269
130,2001,E02002484,2001 super output areas - middle layer,305,Scotland,145
131,2001,E02002484,2001 super output areas - middle layer,305,Wales,36
132,2001,E02002484,2001 super output areas - middle layer,305,Northern Ireland,31
133,2001,E02002484,2001 super output areas - middle layer,305,Republic of Ireland,14
134,2001,E02002484,2001 super output areas - middle layer,305,Other EU countries,49
135,2001,E02002484,2001 super output areas - middle layer,305,Elsewhere,147
136,2001,E02002485,2001 super output areas - middle layer,305,All people,8983
137,2001,E02002485,2001 super output areas - middle layer,305,England,8705
138,2001,E02002485,2001 super output areas - middle layer,305,Scotland,96
139,2001,E02002485,2001 super output areas - middle layer,305,Wales,33
140,2001,E02002485,2001 super output areas - middle layer,305,Northern Ireland,24
141,2001,E02002485,2001 super output areas - middle layer,305,Republic of Ireland,18
142,2001,E02002485,2001 super output areas - middle layer,305,Other EU countries,30
143,2001,E02002485,2001 super output areas - middle layer,305,Elsewhere,77
144,2001,E02002486,2001 super output areas - middle layer,305,All people,5711
145,2001,E02002486,2001 super output areas - middle layer,305,England,5395
146,2001,E02002486,2001 super output areas - middle layer,305,Scotland,98
147,2001,E02002486,2001 super output areas - middle layer,305,Wales,26
148,2001,E02002486,2001 super output areas - middle layer,305,Northern Ireland,23
149,2001,E02002486,2001 super output areas - middle layer,305,Republic of Ireland,11
150,2001,E02002486,2001 super output areas - middle layer,305,Other EU countries,22
151,2001,E02002486,2001 super output areas - middle layer,305,Elsewhere,136
152,2001,E02002487,2001 super output areas - middle layer,305,All people,5453
153,2001,E02002487,2001 super output areas - middle layer,305,England,5173
154,2001,E02002487,2001 super output areas - middle layer,305,Scotland,81
155,2001,E02002487,2001 super output areas - middle layer,305,Wales,26
156,2001,E02002487,2001 super output areas - middle layer,305,Northern Ireland,15
157,2001,E02002487,2001 super output areas - middle layer,305,Republic of Ireland,13
158,2001,E02002487,2001 super output areas - middle layer,305,Other EU countries,34
159,2001,E02002487,2001 super output areas - middle layer,305,Elsewhere,111
160,2001,E02002488,2001 super output areas - middle layer,305,All people,5779
161,2001,E02002488,2001 super output areas - middle layer,305,England,5508
162,2001,E02002488,2001 super output areas - middle layer,305,Scotland,90
163,2001,E02002488,2001 super output areas - middle layer,305,Wales,32
164,2001,E02002488,2001 super output areas - middle layer,305,Northern Ireland,12
165,2001,E02002488,2001 super output areas - middle layer,305,Republic of Ireland,16
166,2001,E02002488,2001 super output areas - middle layer,305,Other EU countries,23
167,2001,E02002488,2001 super output areas - middle layer,305,Elsewhere,98
168,2001,E02002489,2001 super output areas - middle layer,305,All people,7438
169,2001,E02002489,2001 super output areas - middle layer,305,England,7057
170,2001,E02002489,2001 super output areas - middle layer,305,Scotland,103
171,2001,E02002489,2001 super output areas - middle layer,305,Wales,52
172,2001,E02002489,2001 super output areas - middle layer,305,Northern Ireland,18
173,2001,E02002489,2001 super output areas - middle layer,305,Republic of Ireland,14
174,2001,E02002489,2001 super output areas - middle layer,305,Other EU countries,40
175,2001,E02002489,2001 super output areas - middle layer,305,Elsewhere,154
176,2001,E02002490,2001 super output areas - middle layer,305,All people,6600
177,2001,E02002490,2001 super output areas - middle layer,305,England,6420
178,2001,E02002490,2001 super output areas - middle layer,305,Scotland,69
179,2001,E02002490,2001 super output areas - middle layer,305,Wales,25
180,2001,E02002490,2001 super output areas - middle layer,305,Northern Ireland,10
181,2001,E02002490,2001 super output areas - middle layer,305,Republic of Ireland,3
182,2001,E02002490,2001 super output areas - middle layer,305,Other EU countries,26
183,2001,E02002490,2001 super output areas - middle layer,305,Elsewhere,47
184,2001,E02002491,2001 super output areas - middle layer,305,All people,6475
185,2001,E02002491,2001 super output areas - middle layer,305,England,6290
186,2001,E02002491,2001 super output areas - middle layer,305,Scotland,66
187,2001,E02002491,2001 super output areas - middle layer,305,Wales,26
188,2001,E02002491,2001 super output areas - middle layer,305,Northern Ireland,16
189,2001,E02002491,2001 super output areas - middle layer,305,Republic of Ireland,17
190,2001,E02002491,2001 super output areas - middle layer,305,Other EU countries,20
191,2001,E02002491,2001 super output areas - middle layer,305,Elsewhere,40
192,2001,E02002492,2001 super output areas - middle layer,305,All people,5965
193,2001,E02002492,2001 super output areas - middle layer,305,England,5780
194,2001,E02002492,2001 super output areas - middle layer,305,Scotland,69
195,2001,E02002492,2001 super output areas - middle layer,305,Wales,22
196,2001,E02002492,2001 super output areas - middle layer,305,Northern Ireland,16
197,2001,E02002492,2001 super output areas - middle layer,305,Republic of Ireland,20
198,2001,E02002492,2001 super output areas - middle layer,305,Other EU countries,18
