,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_HHSDUK11_NAME,OBS_VALUE
58,2001,E02005897,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",27
59,2001,E02005897,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,13
60,2001,E02005898,2001 super output areas - middle layer,305,All household spaces - with residents,4476
61,2001,E02005898,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,127
62,2001,E02005898,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,8
63,2001,E02005898,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,1158
64,2001,E02005898,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,2386
65,2001,E02005898,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,811
66,2001,E02005898,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",178
67,2001,E02005898,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",15
68,2001,E02005898,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",30
69,2001,E02005898,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,33
70,2001,E02005899,2001 super output areas - middle layer,305,All household spaces - with residents,4508
71,2001,E02005899,2001 super output areas - middle layer,305,All household spaces - with no residents - vacant,345
72,2001,E02005899,2001 super output areas - middle layer,305,All household spaces - with no residents - second residence/holiday accommodation,12
73,2001,E02005899,2001 super output areas - middle layer,305,Whole house or bungalow - detatched,563
74,2001,E02005899,2001 super output areas - middle layer,305,Whole house or bungalow - semi-detatched,1436
75,2001,E02005899,2001 super output areas - middle layer,305,Whole house or bungalow - terraced,1828
76,2001,E02005899,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a purpose built block of flats or tenement",702
77,2001,E02005899,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",169
78,2001,E02005899,2001 super output areas - middle layer,305,"Flat, maisonette or apartment - in a commercial building",104
79,2001,E02005899,2001 super output areas - middle layer,305,Caravan or other mobile or temporary structure,63
80,2001,E02005900,2001 super output areas - middle layer,305,All household spaces - with residents,2799
