,GEOGRAPHY_CODE,"1. Higher managerial, administrative and professional occupations",1.1 Large employers and higher managerial and administrative occupations,1.2 Higher professional occupations,"2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,All categories: NS-SeC,L14.1 Never worked,L14.2 Long-term unemployed,L15 Full-time students
0,E02000001,0.3943270300333704,0.06924360400444939,0.32508342602892104,0.31062291434927697,0.047274749721913235,0.06674082313681869,0.029477196885428252,0.0339265850945495,0.02474972191323693,0.025583982202447165,3596.0,0.014738598442714126,0.010845383759733037,0.06729699666295884
1,E02000002,0.06706706706706707,0.012012012012012012,0.055055055055055056,0.14014014014014015,0.07307307307307308,0.16816816816816818,0.08958958958958958,0.14664664664664664,0.14714714714714713,0.06956956956956957,1998.0,0.03553553553553553,0.03403403403403404,0.0985985985985986
2,E02000003,0.09468822170900693,0.01905311778290993,0.075635103926097,0.17032332563510394,0.1033487297921478,0.1535796766743649,0.09439953810623557,0.11778290993071594,0.10536951501154734,0.06264434180138569,3464.0,0.03146651270207852,0.03117782909930716,0.09786374133949191
3,E02000004,0.08541089566020314,0.018467220683287166,0.06694367497691597,0.1722068328716528,0.08448753462603878,0.16251154201292706,0.10572483841181902,0.09556786703601108,0.13988919667590027,0.06325023084025855,2166.0,0.03185595567867036,0.03139427516158818,0.0909510618651893
4,E02000005,0.05671747607231478,0.011343495214462956,0.045373980857851826,0.12584190003544843,0.07834101382488479,0.1513647642679901,0.11768876285005317,0.13966678482807515,0.16554413328606876,0.06947890818858561,2821.0,0.03722084367245657,0.03225806451612903,0.09535625664657922
5,E02000007,0.06808035714285714,0.010044642857142858,0.05803571428571429,0.11904761904761904,0.06361607142857142,0.13988095238095238,0.10863095238095238,0.12165178571428571,0.17373511904761904,0.0900297619047619,2688.0,0.04389880952380952,0.046130952380952384,0.11532738095238096
6,E02000008,0.04950765864332604,0.009573304157549234,0.039934354485776806,0.11761487964989059,0.07193654266958424,0.1460612691466083,0.112417943107221,0.13785557986870897,0.1712253829321663,0.09053610503282276,3656.0,0.057166301969365424,0.03336980306345733,0.10284463894967177
7,E02000009,0.05647955647955648,0.009702009702009701,0.04677754677754678,0.12058212058212059,0.06756756756756757,0.15973665973665974,0.0984060984060984,0.13998613998613998,0.13963963963963963,0.09355509355509356,2886.0,0.05855855855855856,0.034996534996534996,0.12404712404712405
8,E02000010,0.053156146179401995,0.009228497600590625,0.04392764857881137,0.1258767072720561,0.08010335917312661,0.1554078995939461,0.10446659283868587,0.13104466592838687,0.1598375784422296,0.08416389811738649,2709.0,0.04909560723514212,0.03506829088224437,0.10594315245478036
9,E02000011,0.0593607305936073,0.01141552511415525,0.04794520547945205,0.1410958904109589,0.07990867579908675,0.17397260273972603,0.10365296803652968,0.12009132420091324,0.14885844748858448,0.062100456621004566,2190.0,0.03561643835616438,0.026484018264840183,0.11095890410958904
10,E02000012,0.09939148073022312,0.0165169516082295,0.08287452912199363,0.18255578093306288,0.08200521587945524,0.17270356418429442,0.0762097942625326,0.10489713126629963,0.09359605911330049,0.05476673427991886,3451.0,0.030136192407997683,0.024630541871921183,0.13387423935091278
11,E02000013,0.05503203920090464,0.012815680361854504,0.04221635883905013,0.11948737278552582,0.08556351300414625,0.14813418771202413,0.11006407840180928,0.12551828119110442,0.1673577082548059,0.08669430833019223,2653.0,0.052393516773464,0.03430079155672823,0.10214851111948738
12,E02000014,0.048666666666666664,0.008,0.04066666666666666,0.12033333333333333,0.068,0.14433333333333334,0.10633333333333334,0.14733333333333334,0.18966666666666668,0.08133333333333333,3000.0,0.043666666666666666,0.03766666666666667,0.094
13,E02000015,0.045746388443017656,0.006019261637239166,0.039727126805778494,0.12279293739967898,0.05778491171749599,0.1384430176565008,0.10232744783306581,0.14606741573033707,0.17536115569823435,0.1043338683788122,2492.0,0.0593900481540931,0.0449438202247191,0.10714285714285714
14,E02000016,0.10583446404341927,0.012211668928086838,0.09362279511533243,0.1556987788331072,0.05563093622795115,0.10922659430122117,0.07327001356852103,0.10922659430122117,0.08853459972862958,0.08548168249660787,2948.0,0.05970149253731343,0.025780189959294438,0.21709633649932158
