,GEOGRAPHY_CODE,All categories: Usual residents by communal establishment management and type,All communal establishments,Establishment not stated,Medical and care establishment: Local Authority: Care home or other home,Medical and care establishment: Local Authority: Children's home (including secure units),Medical and care establishment: NHS: General hospital,Medical and care establishment: NHS: Mental health hospital/unit (including secure units),Medical and care establishment: NHS: Other hospital,Medical and care establishment: Other,Medical and care establishment: Other: Care home with nursing,Medical and care establishment: Other: Care home without nursing,Medical and care establishment: Other: Children's home (including secure units),Medical and care establishment: Registered Social Landlord/Housing Association,Other establishments
5513,E02005971,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5514,E02005972,86.0,0.05813953488372093,0.0,0.0,0.0,0.0,0.11627906976744186,0.0,0.0,0.5465116279069767,0.0,0.0,0.0,0.3372093023255814
5515,E02005973,49.0,0.10204081632653061,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.9795918367346939,0.0,0.0,0.0
5516,E02005974,51.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5517,E02005975,346.0,0.031791907514450865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3092485549132948,0.0,0.0,0.6907514450867052
5518,E02005976,335.0,0.020895522388059702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03283582089552239,0.12238805970149254,0.0,0.0,0.844776119402985
5519,E02005977,59.0,0.13559322033898305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4067796610169492,0.5932203389830508,0.0,0.0,0.0
5520,E02005978,78.0,0.0641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
5521,E02005979,295.0,0.12542372881355932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06779661016949153,0.10847457627118644,0.0,0.0,0.823728813559322
5522,E02005980,1616.0,0.018564356435643563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021658415841584157,0.0,0.0,0.0,0.9783415841584159
5523,E02005981,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5524,E02005982,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5525,E02005983,292.0,0.05136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0410958904109589,0.1952054794520548,0.3595890410958904,0.017123287671232876,0.06164383561643835,0.3253424657534247
5526,E02005984,10.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5527,E02005985,0.0,inf,,,,,,,,,,,,
5528,E02005986,73.0,0.0821917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6438356164383562,0.3013698630136986,0.0,0.0,0.0547945205479452
5529,E02005987,44.0,0.11363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,0.0,0.0,0.045454545454545456
5530,E02005991,146.0,0.04794520547945205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0547945205479452,0.773972602739726,0.0,0.0,0.17123287671232876
5531,E02005992,96.0,0.08333333333333333,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.052083333333333336,0.6875,0.19791666666666666,0.0,0.0,0.057291666666666664
5532,E02005993,54.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46296296296296297,0.5,0.0,0.037037037037037035
5533,E02005994,277.0,0.02888086642599278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3971119133574007,0.0,0.0,0.6028880866425993
5534,E02005995,57.0,0.8596491228070176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263157894735,0.5087719298245614,0.0,0.0,0.07017543859649122
5535,E02005996,54.0,0.14814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.1111111111111111
5536,E02005997,18.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5537,E02005998,100.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.11,0.0,0.0,0.1
5538,E02005999,59.0,0.15254237288135594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9322033898305084,0.0,0.0,0.06779661016949153
5539,E02006000,143.0,0.04895104895104895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35664335664335667,0.6293706293706294,0.0,0.0,0.013986013986013986
5540,E02006002,76.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8289473684210527,0.02631578947368421,0.0,0.0,0.14473684210526316
5541,E02006003,21.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.09523809523809523
5542,E02006004,138.0,0.09420289855072464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4492753623188406,0.0,0.0,0.0,0.5507246376811594
5543,E02006005,80.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8375,0.0,0.0,0.0,0.1625
